Property ID,Property                                        ,Original                                                               ,Google Translate                                                                 ,Human checked,Google Translate
P113       ,airline hub                                     ,Which airport is most closely associated with XXX?                     ,¿Qué aeropuerto está más relacionado con XXX?                                    ,¿Qué aeropuerto está más relacionado con XXX?,¿Qué aeropuerto está más relacionado con XXX?
P113       ,airline hub                                     ,What is the name of the airport associated with XXX?                   ,¿Cuál es el nombre del aeropuerto asociado con XXX?                              ,¿Cuál es el nombre del aeropuerto asociado con XXX?,¿Cuál es el nombre del aeropuerto asociado con XXX?
P113       ,airline hub                                     ,Which airline hub does XXX operate out of?                             ,¿De qué línea aérea opera XXX?                                                   ,¿Desde qué centro aéreo opera XXX?,¿De qué línea aérea opera XXX?
P84        ,architect                                       ,Who was the architect involved with XXX?                               ,¿Quién fue el arquitecto involucrado con XXX?                                    ,¿Quién fue el arquitecto involucrado en XXX?,¿Quién fue el arquitecto involucrado con XXX?
P84        ,architect                                       ,Who was XXX designed by?                                               ,¿Quién fue diseñado por XXX?                                                     ,¿Por quién fue diseñadGGG YYY XXX?,¿Quién fue diseñado por XXX?
P84        ,architect                                       ,Which person is the architect of XXX?                                  ,¿Qué persona es el arquitecto de XXX?                                            ,¿Quién es el arquitecto deYYY XXX?,¿Qué persona es el arquitecto de XXX?
P84        ,architect                                       ,Which designer was responsible for XXX?                                ,¿Qué diseñador fue responsable de XXX?                                           ,¿Qué diseñador fue responsable deYYY XXX?,¿Qué diseñador fue responsable de XXX?
P84        ,architect                                       ,Who was the architect that designed XXX?                               ,¿Quién fue el arquitecto que diseñó XXX?                                         ,¿Quién fue el arquitecto que diseñó YYY XXX?,¿Quién fue el arquitecto que diseñó XXX?
P84        ,architect                                       ,Who was the architect or designer of XXX?                              ,¿Quién fue el arquitecto o diseñador de XXX?                                     ,¿Quién fue el arquitecto o diseñador deYYY XXX?,¿Quién fue el arquitecto o diseñador de XXX?
P84        ,architect                                       ,What is the name of the XXX architect?                                 ,¿Cuál es el nombre del arquitecto XXX?                                           ,¿Cuál es el nombre del arquitecto deYYY XXX?,¿Cuál es el nombre del arquitecto XXX?
P84        ,architect                                       ,The XXX project's architect was who?                                   ,¿El arquitecto del proyecto XXX fue quién?                                       ,¿Quién fue el arquitecto del proyecto XXX?,¿El arquitecto del proyecto XXX fue quién?
P84        ,architect                                       ,Who is the architect for XXX?                                          ,¿Quién es el arquitecto para XXX?                                                ,¿Quién es el arquitecto para YY XXX?,¿Quién es el arquitecto para XXX?
P84        ,architect                                       ,Who was the designer of XXX?                                           ,¿Quién fue el diseñador de XXX?                                                  ,¿Quién fue el diseñador deYYY XXX?,¿Quién fue el diseñador de XXX?
P84        ,architect                                       ,The designer for XXX was?                                              ,El diseñador para XXX fue?                                                       ,¿El diseñador deYYY XXX fue?,El diseñador para XXX fue?
P84        ,architect                                       ,Who was behind the creation of XXX?                                    ,¿Quién estuvo detrás de la creación de XXX?                                      ,¿Quién estuvo detrás de la creación deYYY XXX?,¿Quién estuvo detrás de la creación de XXX?
P84        ,architect                                       ,Which person was the architect of XXX?                                 ,¿Qué persona fue la arquitecta de XXX?                                           ,¿Quién fue el arquitecto deYYY XXX?,¿Qué persona fue la arquitecta de XXX?
P84        ,architect                                       ,What was the name of the architect who worked on XXX?                  ,¿Cuál era el nombre del arquitecto que trabajó en XXX?                           ,¿Cuál era el nombre del arquitecto que trabajó en YYY XXX?,¿Cuál era el nombre del arquitecto que trabajó en XXX?
P84        ,architect                                       ,The architect of XXX was whom?                                         ,¿El arquitecto de XXX era quién?                                                 ,¿Quién era el arquitecto deYYY XXX?,¿El arquitecto de XXX era quién?
P84        ,architect                                       ,Who designed XXX?                                                      ,¿Quién diseñó XXX?                                                               ,¿Quién diseñó YYY XXX?,¿Quién diseñó XXX?
P84        ,architect                                       ,What architect designed XXX?                                           ,¿Qué arquitecto diseñó XXX?                                                      ,¿Qué arquitecto diseñó YYY XXX?,¿Qué arquitecto diseñó XXX?
P84        ,architect                                       ,Who was the designor of XXX?                                           ,¿Quién fue el diseñador de XXX?                                                  ,,¿Quién fue el diseñador de XXX?
P84        ,architect                                       ,Who was the main designer of XXX?                                      ,¿Quién fue el diseñador principal de XXX?                                        ,¿Quién fue el diseñador principal deYYY XXX?,¿Quién fue el diseñador principal de XXX?
P84        ,architect                                       ,Who is the architect of XXX?                                           ,¿Quién es el arquitecto de XXX?                                                  ,,¿Quién es el arquitecto de XXX?
P84        ,architect                                       ,Which architect was responsible for XXX?                               ,¿Qué arquitecto fue responsable de XXX?                                          ,¿Qué arquitecto fue responsable deYYY XXX?,¿Qué arquitecto fue responsable de XXX?
P84        ,architect                                       ,What was the designer of XXX's name?                                   ,¿Cuál fue el diseñador del nombre de XXX?                                        ,¿Cuál es el nombre del diseñador deYYY XXX ?,¿Cuál fue el diseñador del nombre de XXX?
P84        ,architect                                       ,By which person XXX has been designed?                                 ,¿Por qué persona ha sido diseñada XXX?                                           ,¿Por quién ha sido diseñadGGG YYY XXX?,¿Por qué persona ha sido diseñada XXX?
P84        ,architect                                       ,Who created XXX?                                                       ,¿Quién creó XXX?                                                                 ,¿Quién creó YYY XXX?,¿Quién creó XXX?
P84        ,architect                                       ,Which was the architect for XXX?                                       ,¿Cuál fue el arquitecto para XXX?                                                ,¿Cuál fue el arquitecto de YYY XXX?,¿Cuál fue el arquitecto para XXX?
P84        ,architect                                       ,The architect of XXX is whom?                                          ,¿El arquitecto de XXX es quién?                                                  ,,¿El arquitecto de XXX es quién?
P84        ,architect                                       ,Who was responsible for the design of XXX?                             ,¿Quién fue el responsable del diseño de XXX?                                     ,¿Quién fue el responsable del diseño deYYY XXX?,¿Quién fue el responsable del diseño de XXX?
P84        ,architect                                       ,The architect of XXX was who?                                          ,El arquitecto de XXX fue quien?                                                  ,El arquitecto deYYY XXX fue quien?,El arquitecto de XXX fue quien?
P84        ,architect                                       ,Who was mainly responsible for the design of XXX?                      ,¿Quién fue el principal responsable del diseño de XXX?                           ,¿Quién fue el principal responsable del diseño deYYY XXX?,¿Quién fue el principal responsable del diseño de XXX?
P149       ,architectural style                             ,The art style of XXX is what?                                          ,¿El estilo artístico de XXX es qué?                                              ,¿Cuál es el estilo artístico deYYY XXX?,¿El estilo artístico de XXX es qué?
P149       ,architectural style                             ,Of what style is XXX?                                                  ,¿De qué estilo es XXX?                                                           ,¿De qué estilo es YYY XXX?,¿De qué estilo es XXX?
P149       ,architectural style                             ,Which is the kind of art style of XXX?                                 ,¿Cuál es el tipo de estilo artístico de XXX?                                     ,¿Cuál es el tipo de estilo artístico deYYY XXX?,¿Cuál es el tipo de estilo artístico de XXX?
P50        ,author                                          ,Whose writing work is XXX?                                             ,¿De quién es el trabajo de escritura XXX?                                        ,¿De quién es la obra YYY XXX?,¿De quién es el trabajo de escritura XXX?
P50        ,author                                          ,Who wrote the work XXX?                                                ,¿Quién escribió la obra XXX?                                                     ,¿Quién escribió la obra YYY XXX?,¿Quién escribió la obra XXX?
P50        ,author                                          ,Who is the author of XXX?                                              ,¿Quién es el autor de XXX?                                                       ,¿Quién es el autor deYYY XXX?,¿Quién es el autor de XXX?
P50        ,author                                          ,Who authored XXX?                                                      ,¿Quién fue el autor de XXX?                                                      ,¿Quién fue el autor deYYY XXX?,¿Quién fue el autor de XXX?
P50        ,author                                          ,Which author is responsible for XXX?                                   ,¿Qué autor es responsable de XXX?                                                ,,¿Qué autor es responsable de XXX?
P50        ,author                                          ,Which author is associated with the work of XXX?                       ,¿Qué autor se asocia con la obra de XXX?                                         ,¿A qué autor se asocia con la obra deYYY XXX?,¿Qué autor se asocia con la obra de XXX?
P50        ,author                                          ,What writer wrote XXX?                                                 ,¿Qué escritor escribió XXX?                                                      ,¿Qué escritor escribió YYY XXX?,¿Qué escritor escribió XXX?
P50        ,author                                          ,What was the author of XXX's name?                                     ,¿Cuál fue el autor del nombre de XXX?                                            ,,¿Cuál fue el autor del nombre de XXX?
P50        ,author                                          ,What author wrote XXX?                                                 ,¿Qué autor escribió XXX?                                                         ,¿Qué autor escribió YYY XXX?,¿Qué autor escribió XXX?
P50        ,author                                          ,The writer of XXX is who?                                              ,El escritor de XXX es quien?                                                     ,,El escritor de XXX es quien?
P50        ,author                                          ,The literature of XXX was written by who?                              ,La literatura de XXX fue escrita por quien?                                      ,,La literatura de XXX fue escrita por quien?
P50        ,author                                          ,Who wrote XXX?                                                         ,¿Quién escribió XXX?                                                             ,¿Quién escribió YYY XXX?,¿Quién escribió XXX?
P50        ,author                                          ,Who was the writer of XXX?                                             ,¿Quién fue el escritor de XXX?                                                   ,¿Quién fue el escritor de YYY XXX?,¿Quién fue el escritor de XXX?
P50        ,author                                          ,Which person has written XXX?                                          ,¿Qué persona ha escrito XXX?                                                     ,,¿Qué persona ha escrito XXX?
P50        ,author                                          ,Which author wrote XXX?                                                ,¿Qué autor escribió XXX?                                                         ,,¿Qué autor escribió XXX?
P50        ,author                                          ,Who was the auther of XXX?                                             ,¿Quién fue el autor de XXX?                                                      ,¿Quién fue el autor de YYY XXX?,¿Quién fue el autor de XXX?
P50        ,author                                          ,Who wrote the XXX?                                                     ,¿Quién escribió el XXX?                                                          ,,¿Quién escribió el XXX?
P50        ,author                                          ,Which author wrote the novel titled XXX?                               ,¿Qué autor escribió la novela titulada XXX?                                      ,,¿Qué autor escribió la novela titulada XXX?
P50        ,author                                          ,What is the name of the author of XXX?                                 ,¿Cuál es el nombre del autor de XXX?                                             ,,¿Cuál es el nombre del autor de XXX?
P50        ,author                                          ,Which author penned XXX?                                               ,¿Qué autor escribió XXX?                                                         ,,¿Qué autor escribió XXX?
P50        ,author                                          ,Who wrote the novel XXX?                                               ,¿Quién escribió la novela XXX?                                                   ,¿Quién escribió la novela YYY XXX?,¿Quién escribió la novela XXX?
P50        ,author                                          ,Who is the writer of XXX?                                              ,¿Quién es el escritor de XXX?                                                    ,¿Quién es el escritor de YYY XXX?,¿Quién es el escritor de XXX?
P50        ,author                                          ,Who is the creator of XXX?                                             ,¿Quién es el creador de XXX?                                                     ,¿Quién es el creador de YYY XXX?,¿Quién es el creador de XXX?
P50        ,author                                          ,The one who wrote the XXX?                                             ,¿El que escribió el XXX?                                                         ,,¿El que escribió el XXX?
P50        ,author                                          ,Who is the XXX by?                                                     ,¿Quién es el XXX?                                                                ,,¿Quién es el XXX?
P50        ,author                                          ,Who was XXX written by?                                                ,¿Quién fue XXX escrito por?                                                      ,,¿Quién fue XXX escrito por?
P50        ,author                                          ,The XXX is by whom?                                                    ,El XXX es por quien?                                                             ,,El XXX es por quien?
P166       ,award received                                  ,What award was received by XXX?                                        ,¿Qué premio recibió XXX?                                                         ,¿Qué premio recibió XXX?,¿Qué premio recibió XXX?
P166       ,award received                                  ,Which award did XXX get?                                               ,¿Qué premio obtuvo XXX?                                                          ,¿Qué premio obtuvo XXX?,¿Qué premio obtuvo XXX?
P166       ,award received                                  ,What was the award received by XXX?                                    ,¿Cuál fue el premio recibido por XXX?                                            ,¿Cuál fue el premio recibido por XXX?,¿Cuál fue el premio recibido por XXX?
P166       ,award received                                  ,Which award was honoured to XXX?                                       ,¿Qué premio fue honrado a XXX?                                                   ,,¿Qué premio fue honrado a XXX?
P166       ,award received                                  ,Which award was bestowed upon XXX?                                     ,¿Qué premio fue otorgado a XXX?                                                  ,¿Qué premio fue otorgado a XXX?,¿Qué premio fue otorgado a XXX?
P144       ,based on                                        ,The XXX is based upon what?                                            ,El XXX se basa en qué?                                                           ,,El XXX se basa en qué?
P144       ,based on                                        ,Which is the basis of XXX?                                             ,¿Cuál es la base de XXX?                                                         ,¿Cuál es la base deYYY XXX?,¿Cuál es la base de XXX?
P3373      ,brother                                         ,What is XXX's brothers name?                                           ,¿Cuál es el nombre de los hermanos de XXX?                                       ,¿Cuál es el nombre de los hermanos de XXX?,¿Cuál es el nombre de los hermanos de XXX?
P3373      ,brother                                         ,Who was the brother of XXX?                                            ,¿Quién era el hermano de XXX?                                                    ,¿Quién era el hermano de XXX?,¿Quién era el hermano de XXX?
P411       ,canonization status                             ,What title is held by XXX?                                             ,¿Qué título tiene XXX?                                                           ,¿Qué título posee XXX?,¿Qué título tiene XXX?
P161       ,cast member                                     ,Who has acted in the film XXX?                                         ,¿Quién ha actuado en la película XXX?                                            ,¿Quién ha actuado en la película YYY XXX?,¿Quién ha actuado en la película XXX?
P161       ,cast member                                     ,Who featured in the film XXX?                                          ,¿Quién apareció en la película XXX?                                              ,¿Quién apareció en la película YYY XXX?,¿Quién apareció en la película XXX?
P161       ,cast member                                     ,Who is in XXX as a cast member?                                        ,¿Quién está en XXX como miembro del elenco?                                      ,¿Quién está en YYY XXX como miembro del elenco?,¿Quién está en XXX como miembro del elenco?
P161       ,cast member                                     ,Who has acted in the comedy film XXX?                                  ,¿Quién ha actuado en la comedia de cine XXX?                                     ,¿Quién ha actuado en la comedia de cine YYY XXX?,¿Quién ha actuado en la comedia de cine XXX?
P161       ,cast member                                     ,Who are the stars of the film XXX?                                     ,¿Quiénes son las estrellas de la película XXX?                                   ,¿Quiénes son los protagonistas de la película YYY XXX?,¿Quiénes son las estrellas de la película XXX?
P161       ,cast member                                     ,Who acted in XXX?                                                      ,¿Quién actuó en XXX?                                                             ,¿Quién actuó en YYY XXX?,¿Quién actuó en XXX?
P161       ,cast member                                     ,Who was the star of XXX?                                               ,¿Quién fue la estrella de XXX?                                                   ,¿Quién fue el protagonista de YYY XXX?,¿Quién fue la estrella de XXX?
P161       ,cast member                                     ,Who are the cast members of XXX?                                       ,¿Quiénes son los miembros del elenco de XXX?                                     ,¿Quiénes son los miembros del elenco de YYY XXX?,¿Quiénes son los miembros del elenco de XXX?
P161       ,cast member                                     ,What cast members where in XXX?                                        ,¿Qué miembros del reparto en XXX?                                                ,,¿Qué miembros del reparto en XXX?
P161       ,cast member                                     ,In the film XXX  who was the star?                                     ,En la película XXX  ¿quién fue el protagonista?                                  ,En la película YYY XXX  ¿quién fue la estrella?,En la película XXX  ¿quién fue el protagonista?
P509       ,cause of death                                  ,Why did XXX die?                                                       ,¿Por qué murió XXX?                                                              ,¿Qué causo la muerte de XXX?,¿Por qué murió XXX?
P509       ,cause of death                                  ,Which ailment caused the death of XXX?                                 ,¿Qué dolencia causó la muerte de XXX?                                            ,¿Qué dolencia causó la muerte de XXX?,¿Qué dolencia causó la muerte de XXX?
P509       ,cause of death                                  ,What was XXX's cause of death?                                         ,¿Cuál fue la causa de muerte de XXX?                                             ,¿Cuál fue la causa de muerte de XXX?,¿Cuál fue la causa de muerte de XXX?
P509       ,cause of death                                  ,What kind of medical issue did XXX have?                               ,¿Qué tipo de problema médico tenía XXX?                                          ,¿Qué tipo de problema médico tenía XXX?,¿Qué tipo de problema médico tenía XXX?
P509       ,cause of death                                  ,What killed XXX?                                                       ,¿Qué mató a XXX?                                                                 ,¿Qué mató a XXX?,¿Qué mató a XXX?
P509       ,cause of death                                  ,What is the cause of death for XXX?                                    ,¿Cuál es la causa de la muerte para XXX?                                         ,¿Cuál es la causa de la muerte de XXX?,¿Cuál es la causa de la muerte para XXX?
P509       ,cause of death                                  ,The cause of death of XXX is what?                                     ,¿La causa de la muerte de XXX es qué?                                            ,,¿La causa de la muerte de XXX es qué?
P509       ,cause of death                                  ,What caused XXX's death?                                               ,¿Qué causó la muerte de XXX?                                                     ,¿Qué causó la muerte de XXX?,¿Qué causó la muerte de XXX?
P509       ,cause of death                                  ,What was the cause of death for XXX?                                   ,¿Cuál fue la causa de la muerte para XXX?                                        ,¿Cuál fue la causa de la muerte de XXX?,¿Cuál fue la causa de la muerte para XXX?
P509       ,cause of death                                  ,What was XXX cause of death?                                           ,¿Qué fue la XXX causa de muerte?                                                 ,,¿Qué fue la XXX causa de muerte?
P509       ,cause of death                                  ,What medical condition killed XXX?                                     ,¿Qué condición médica mató a XXX?                                                ,¿Qué condición médica previa mató a XXX?,¿Qué condición médica mató a XXX?
P509       ,cause of death                                  ,What is the cause of death of XXX?                                     ,¿Cuál es la causa de la muerte de XXX?                                           ,,¿Cuál es la causa de la muerte de XXX?
P509       ,cause of death                                  ,What did XXX die from?                                                 ,¿De qué murió XXX?                                                               ,¿De qué murió XXX?,¿De qué murió XXX?
P509       ,cause of death                                  ,The cause of death for XXX was what?                                   ,¿La causa de la muerte para XXX fue qué?                                         ,,¿La causa de la muerte para XXX fue qué?
P509       ,cause of death                                  ,Of what did XXX die?                                                   ,¿De qué murió XXX?                                                               ,,¿De qué murió XXX?
P509       ,cause of death                                  ,From what did XXX die?                                                 ,¿De qué murió XXX?                                                               ,,¿De qué murió XXX?
P509       ,cause of death                                  ,Due to which disease did XXX die?                                      ,¿Por qué enfermedad murió XXX?                                                   ,¿Debido a qué enfermedad murió XXX?,¿Por qué enfermedad murió XXX?
P509       ,cause of death                                  ,What was the cause of XXX's death?                                     ,¿Cuál fue la causa de la muerte de XXX?                                          ,,¿Cuál fue la causa de la muerte de XXX?
P509       ,cause of death                                  ,Which is the cause of death of XXX?                                    ,¿Cuál es la causa de la muerte de XXX?                                           ,,¿Cuál es la causa de la muerte de XXX?
P509       ,cause of death                                  ,How did XXX die?                                                       ,¿Cómo murió XXX?                                                                 ,¿Cómo murió XXX?,¿Cómo murió XXX?
P509       ,cause of death                                  ,What was the cause of death of XXX?                                    ,¿Cuál fue la causa de la muerte de XXX?                                          ,,¿Cuál fue la causa de la muerte de XXX?
P509       ,cause of death                                  ,What disease did XXX have?                                             ,¿Qué enfermedad tenía XXX?                                                       ,¿Qué enfermedad tenía XXX?,¿Qué enfermedad tenía XXX?
P509       ,cause of death                                  ,What did XXX die of?                                                   ,¿De qué murió XXX?                                                               ,,¿De qué murió XXX?
P509       ,cause of death                                  ,The disease that XXX died of was what?                                 ,¿De qué enfermedad murió XXX?                                                    ,¿De qué enfermedad murió XXX?,¿De qué enfermedad murió XXX?
P488       ,chairperson                                     ,Who led XXX?                                                           ,¿Quién dirigió XXX?                                                              ,¿Quién dirigió XXX?,¿Quién dirigió XXX?
P674       ,characters                                      ,The XXX has what character?                                            ,¿El XXX tiene qué carácter?                                                      ,,¿El XXX tiene qué carácter?
P40        ,child                                           ,Who is the offspring of XXX?                                           ,¿Quién es la descendencia de XXX?                                                ,¿Quiénes son los descendencientes de XXX?,¿Quién es la descendencia de XXX?
P40        ,child                                           ,What was XXX's child's name?                                           ,¿Cuál era el nombre del niño de XXX?                                             ,¿Cuál era el nombre del hijo de XXX?,¿Cuál era el nombre del niño de XXX?
P1057      ,chromosome                                      ,What is the name of the chromosome where you can find XXX?             ,¿Cuál es el nombre del cromosoma donde puedes encontrar XXX?                     ,,¿Cuál es el nombre del cromosoma donde puedes encontrar XXX?
P1057      ,chromosome                                      ,On what chromosome is XXX found?                                       ,¿En qué cromosoma se encuentra XXX?                                              ,,¿En qué cromosoma se encuentra XXX?
P1057      ,chromosome                                      ,Which chromosome is the gene XXX located on?                           ,¿En qué cromosoma se encuentra el gen XXX?                                       ,¿En qué cromosoma se encuentra el gen XXX?,¿En qué cromosoma se encuentra el gen XXX?
P1057      ,chromosome                                      ,Which  chromosome is related with XXX?                                 ,¿Qué cromosoma está relacionado con XXX?                                         ,¿Qué cromosoma está relacionado con YYY XXX?,¿Qué cromosoma está relacionado con XXX?
P1057      ,chromosome                                      ,On what chromosome is XXX located?                                     ,¿En qué cromosoma se encuentra XXX?                                              ,¿En qué cromosoma se encuentra YYY XXX?,¿En qué cromosoma se encuentra XXX?
P1057      ,chromosome                                      ,What chromosome is XXX?                                                ,¿Qué cromosoma es XXX?                                                           ,,¿Qué cromosoma es XXX?
P1057      ,chromosome                                      ,What is the name of XXX's chromosome?                                  ,¿Cuál es el nombre del cromosoma de XXX?                                         ,,¿Cuál es el nombre del cromosoma de XXX?
P1057      ,chromosome                                      ,Which chromosome is XXX found on?                                      ,¿En qué cromosoma se encuentra XXX?                                              ,,¿En qué cromosoma se encuentra XXX?
P1057      ,chromosome                                      ,Which chromosome is XXX located?                                       ,¿Qué cromosoma se encuentra XXX?                                                 ,,¿Qué cromosoma se encuentra XXX?
P1057      ,chromosome                                      ,Where is the gene XXX located?                                         ,¿Dónde se localiza el gen XXX?                                                   ,¿Dónde se localiza el gen XXX?,¿Dónde se localiza el gen XXX?
P1057      ,chromosome                                      ,Which chromosone can you find XXX?                                     ,¿Qué cromosona puedes encontrar en XXX?                                          ,,¿Qué cromosona puedes encontrar en XXX?
P1057      ,chromosome                                      ,Which chromosome is XXX associated with?                               ,¿Con qué cromosoma está asociado XXX?                                            ,¿Con qué cromosoma está asociadGGG YYY XXX?,¿Con qué cromosoma está asociado XXX?
P195       ,collection                                      ,What is the name of the place where XXX can be found?                  ,¿Cuál es el nombre del lugar donde se puede encontrar XXX?                       ,,¿Cuál es el nombre del lugar donde se puede encontrar XXX?
P1027      ,conferred by                                    ,Who gives out the XXX award?                                           ,¿Quién otorga el premio XXX?                                                     ,¿Quién otorga el premio XXX?,¿Quién otorga el premio XXX?
P607       ,conflict                                        ,Which historic war did XXX participate?                                ,¿En qué guerra histórica participó XXX?                                          ,¿En qué guerra histórica participó XXX?,¿En qué guerra histórica participó XXX?
P607       ,conflict                                        ,What war did XXX participate in?                                       ,¿En qué guerra participó XXX?                                                    ,¿En qué guerra participó XXX?,¿En qué guerra participó XXX?
P607       ,conflict                                        ,In which war/battle did XXX fight?                                     ,¿En qué guerra / batalla luchó XXX?                                              ,¿En qué guerra / batalla luchó XXX?,¿En qué guerra / batalla luchó XXX?
P607       ,conflict                                        ,In what war did XXX fight?                                             ,¿En qué guerra luchó XXX?                                                        ,¿En qué guerra luchó XXX?,¿En qué guerra luchó XXX?
P607       ,conflict                                        ,During which historic war was XXX an officer?                          ,¿Durante qué guerra histórica fue XXX un oficial?                                ,¿Durante qué guerra histórica fue XXX un oficial?,¿Durante qué guerra histórica fue XXX un oficial?
P607       ,conflict                                        ,In which war did XXX serve?                                            ,¿En qué guerra sirvió XXX?                                                       ,¿En qué guerra sirvió XXX?,¿En qué guerra sirvió XXX?
P607       ,conflict                                        ,In which war did XXX participate?                                      ,¿En qué guerra participó XXX?                                                    ,,¿En qué guerra participó XXX?
P607       ,conflict                                        ,In which war did XXX fought?                                           ,¿En qué guerra peleó XXX?                                                        ,¿En qué guerra peleó XXX?,¿En qué guerra peleó XXX?
P607       ,conflict                                        ,What war was XXX in?                                                   ,¿En qué guerra estaba XXX?                                                       ,¿En qué guerra estaba XXX?,¿En qué guerra estaba XXX?
P607       ,conflict                                        ,What was the war that XXX fought in?                                   ,¿Cuál fue la guerra en la que XXX peleó?                                         ,¿Cuál fue la guerra en la que XXX peleó?,¿Cuál fue la guerra en la que XXX peleó?
P607       ,conflict                                        ,In which war did XXX fight?                                            ,¿En qué guerra luchó XXX?                                                        ,,¿En qué guerra luchó XXX?
P607       ,conflict                                        ,In what war was XXX a combatant?                                       ,¿En qué guerra era XXX un combatiente?                                           ,¿En qué guerra era XXX un combatiente?,¿En qué guerra era XXX un combatiente?
P607       ,conflict                                        ,In which conflict did XXX participate?                                 ,¿En qué conflicto participó XXX?                                                 ,¿En qué conflicto participó XXX?,¿En qué conflicto participó XXX?
P607       ,conflict                                        ,What war did XXX fight in?                                             ,¿En qué guerra luchó XXX?                                                        ,,¿En qué guerra luchó XXX?
P607       ,conflict                                        ,Which war did XXX serve in?                                            ,¿En qué guerra sirvió XXX?                                                       ,,¿En qué guerra sirvió XXX?
P607       ,conflict                                        ,In what war did XXX fight in?                                          ,¿En qué guerra luchó XXX?                                                        ,,¿En qué guerra luchó XXX?
P607       ,conflict                                        ,Which war was XXX in?                                                  ,¿En qué guerra estaba XXX?                                                       ,,¿En qué guerra estaba XXX?
P607       ,conflict                                        ,What is the war during which XXX was in the armed forces?              ,¿Cuál es la guerra durante la cual XXX estuvo en las fuerzas armadas?            ,¿Cuál es la guerra durante la cual XXX estuvo en las fuerzas armadas?,¿Cuál es la guerra durante la cual XXX estuvo en las fuerzas armadas?
P607       ,conflict                                        ,In what war was XXX in?                                                ,¿En qué guerra estaba XXX?                                                       ,,¿En qué guerra estaba XXX?
P607       ,conflict                                        ,Which war did XXX participate in?                                      ,¿En qué guerra participó XXX?                                                    ,,¿En qué guerra participó XXX?
P607       ,conflict                                        ,Which conflict was XXX a part of?                                      ,¿De qué conflicto era parte XXX?                                                 ,,¿De qué conflicto era parte XXX?
