Property ID,Property,Original,Human Translated
P1027,conferred by,Who gives out the XXX award?,Wer vergibt den XXX Preis?
P607,conflict,Which historic war did XXX participate?,An welchem historischen Krieg hat XXX teilgenommen?
P607,conflict,What war did XXX participate in?,An welchem Krieg hat XXX teilgenommen?
P607,conflict,In which war/battle did XXX fight?,In welchem Krieg hat XXX gekämpft?
P607,conflict,In what war did XXX fight?,In welcher Schlacht hat XXX gekämpft?
P607,conflict,During which historic war was XXX an officer?,In welchem historischen Krieg war XXX ein Offizier?
P607,conflict,In which war did XXX serve?,In welchem Krieg diente XXX?
P607,conflict,In which war did XXX participate?,
P607,conflict,In which war did XXX fought?,
P607,conflict,What war was XXX in?,
P607,conflict,What was the war that XXX fought in?,
P607,conflict,In which war did XXX fight?,
P607,conflict,In what war was XXX a combatant?,
P607,conflict,In which conflict did XXX participate?,An welchem Konflikt hat XXX teilgenommen?
P607,conflict,What war did XXX fight in?,
P607,conflict,Which war did XXX serve in?,
P607,conflict,In what war did XXX fight in?,
P607,conflict,Which war was XXX in?,
P607,conflict,What is the war during which XXX was in the armed forces?,
P607,conflict,In what war was XXX in?,An welchem Krieg war XXX beteiligt?
P607,conflict,Which war did XXX participate in?,An welcher Schlacht war XXX beteiligt?
P607,conflict,Which conflict was XXX a part of?,An welchem Konflikt war XXX beteiligt?
P607,conflict,What war or battle involved XXX?,
P607,conflict,What war or battle did XXX fight in?,
P607,conflict,What conflict involved XXX?,
P607,conflict,Which war was XXX a part of?,
P81,connecting line,What is the line for XXX station?,Welches ist die Linie zur Station XXX?
P81,connecting line,On which railway line is the railway station XXX located?,Auf welcher Bahnlinie befindet sich der Bahnhof XXX?
P81,connecting line,What is the rail line that XXX runs?,
P81,connecting line,What rail line does XXX serve?,Welche Eisenbahnlinie bedient XXX?
P81,connecting line,What line is XXX a part of?,
P81,connecting line,What line is XXX on?,Auf welcher Linie liegt XXX?
P81,connecting line,What rail line is served by XXX?,
P81,connecting line,What is the name of the line XXX is located?,
P81,connecting line,Which line does XXX form a part of?,Zu welcher Linie gehört XXX?
P81,connecting line,On which railway line is the railway station XXX situated?,
P81,connecting line,What is the line for XXX?,
P59,constellation,What is the name of the constellation which XXX belongs?,"Wie heißt die Konstellation, zu der YYY XXX gehört?"
P59,constellation,What is the name of the constellation where XXX belongs?,
P59,constellation,Of which constellation is XXX a part?,YYY XXX ist Teil welcher Konstellation?
P59,constellation,In which constellation is XXX?,In welcher Konstellation befindet sich YYY XXX?
P59,constellation,Which constellation is formed by XXX?,Welche Konstellation wird von YYYd XXX gebildet?
P59,constellation,What constellation is XXX part of?,
P59,constellation,What constellation is XXX located in?,
P59,constellation,What constellation does XXX belong to?,
P59,constellation,Which constellation is XXX in?,
P59,constellation,Which was the constellation for XXX?,In welcher Konstellation befindet sich der Stern XXX?
P59,constellation,The star/galaxy XXX is in what constellation?,In welcher Konstellation steht der Stern XXX?
P59,constellation,The star XXX is part of the constellation known as what?,
P59,constellation,The star XXX is a part of the constellation named what?,
P59,constellation,In what constellation can XXX be found?,
P59,constellation,What constellation is where XXX is?,
P59,constellation,What constellation is XXX a part of?,Zu welcher Konstellation gehört YYY XXX?
P59,constellation,The star XXX is part of what constellation?,
P59,constellation,What is the constellation that XXX is a part of?,"Welches ist die Konstellation, zu der XXX gehört?"
P59,constellation,What is the constellation that is made with XXX?,
P59,constellation,What constellation is XXX in?,
P59,constellation,What constellation is home to XXX?,
P59,constellation,What is the constellation where XXX is located?,
P59,constellation,Which constellation is XXX a part of?,
P30,continent,Which continent is XXX located?,Auf welchem Kontinent befindet sich XXX?
P30,continent,What continent is XXX found on?,Auf welchem Kontinent ist XXX?
P30,continent,What continent can you find XXX?,Auf welchem Kontinent liegt XXX?
P30,continent,On what continent can XXX be found?,
P30,continent,What continent contains XXX?,
P30,continent,Which continent is XXX on?,
P30,continent,Which continent is XXX in?,
P30,continent,What is the name of the continent where XXX is located?,"Wie heißt der Kontinent, auf dem sich XXX befindet?"
P30,continent,What is the continent that XXX is located?,"Wie heißt der Kontinent, auf dem XXX liegt?"
P30,continent,What continent is XXX on?,
P30,continent,What continent is XXX located on?,
P30,continent,On which continent is XXX located?,
P30,continent,In what continent XXX located?,
P30,continent,What is the continent of XXX?,
P30,continent,The continent that XXX is on is what?,
P30,continent,The continent of XXX is what?,
P30,continent,In what continent is XXX in?,
P30,continent,In which continent is XXX located?,
P1399,convicted of,For what crime was XXX prosecuted?,Für welches Verbrechen wurde XXX strafrechtlich verfolgt?
P1399,convicted of,Which crime XXX is considered to have commited?,Welche Straftat soll XXX begangen haben?
P1399,convicted of,Which crime led to the conviction of XXX?,Welches Verbrechen führte zur Verurteilung von XXX?
P17,country,Which country is XXX located?,In welchem Land befindet sich YYY XXX?
P17,country,Which country is XXX in?,In welchem Land ist YYY XXX?
P17,country,What is the name of the country that XXX is located?,"Wie heißt das Land, in dem sich YYY XXX befindet?"
P17,country,What is the name of the country in which XXX is located?,"Wie heißt das Land, in dem man YYY XXX finden kann?"
P17,country,What is the name of the country XXX is in?,
P17,country,What country is home to XXX?,
P17,country,What country is XXX located in?,YYY XXX Teil welchen Landes?
P17,country,What country is XXX a part of?,In welchem Land kann YYY XXX gefunden werden?
P17,country,In what country can XXX be found?,
P17,country,Which country would you find yourself in if you visited XXX?,"In welchem Land befindet man sich, wenn man YYYa XXX besucht?"
P17,country,In which country is XXX?,
P17,country,In which country is XXX found?,
P17,country,Which country contains XXX?,
P17,country,In which country is XXX situated?,
P17,country,In which country is XXX located?,
P17,country,In what country is XXX located?,
P17,country,In what country is XXX?,
P17,country,In what country XXX is located?,
P17,country,Which country can you find XXX?,
P17,country,With which country would you associate XXX?,
P17,country,What is the country that XXX is located in?,
P17,country,What is the name of XXX's country?,
P17,country,The town of XXX is located in which country?,
P17,country,In which country would you find XXX?,
P17,country,In what country would you find XXX?,
P17,country,Which country's part is XXX?,
P27,country of citizenship,Which country is XXX from?,Aus welchem Land stammt XXX?
P27,country of citizenship,What is XXX's country of original?,Aus welchem Land kommt XXX?
P27,country of citizenship,What country is XXX from?,
P27,country of citizenship,What country did XXX come from?,
P27,country of citizenship,Which country's citizen was XXX?,XXX war Staatsbürger welchen Landes?
P27,country of citizenship,Which country's citizenship does XXX hold?,
P27,country of citizenship,Which country was XXX in?,
P27,country of citizenship,Which country is XXX a citizen of?,
P27,country of citizenship,In which country did XXX live?,In welchem Land lebte XXX?
P27,country of citizenship,What country was XXX in?,
P27,country of citizenship,What was XXX birth country?,In welchem Land wurde XXX geboren?
P27,country of citizenship,To which country does XXX belong as its citizen?,
P27,country of citizenship,What country was XXX from?,
P27,country of citizenship,Which country does XXX belong to?,
P27,country of citizenship,Of which country is XXX a citizen?,
P27,country of citizenship,Of what country is XXX a citizen?,
P27,country of citizenship,Where was XXX from?,Woher kam XXX?
P27,country of citizenship,What is XXX's country of citizenship?,
P495,country of origin,The country of origin for XXX is what?,Woher stammt XXX?
P495,country of origin,The country for XXX was what?,
P495,country of origin,Which was the country for XXX?,
P495,country of origin,What is the country XXX is from?,Aus welchem Land stammt XXX?
P495,country of origin,What country released XXX?,
P495,country of origin,What country did XXX originate?,
P170,creator,Which was the creator of XXX?,Wer schuf YYYa XXX?
P170,creator,The artwork XXX was by who?,Wessen Kunstwerk war YYY XXX?
P170,creator,Who developed XXX?,Wer hat YYYa XXX entwickelt?
P170,creator,The XXX was made by whom?,
P170,creator,Who is XXX by?,YYY XXX wurde von wem erschaffen?
P170,creator,What artist was responsible for the creation of XXX?,
P177,crosses,Over what river does XXX cross?,Welchen Fluss kreuzt YYY XXX?
P177,crosses,Over which river does XXX cross?,
P177,crosses,What river does XXX cross?,
P177,crosses,What does XXX cross over?,
P569,date of birth,When was XXX born?,Wann wurde XXX geboren?
P569,date of birth,When was the birth of XXX?,XXX wurde wann geboren?
P569,date of birth,When is the date of birth of XXX?,Was ist das Geburtsdatum von XXX?
P569,date of birth,What was the date of birth of XXX?,Was war das Geburtsdatum von XXX?
P569,date of birth,What is the date of birth for XXX?,
P569,date of birth,What is the birth date of XXX?,
P569,date of birth,The date of birth of XXX is?,
P569,date of birth,The date of birth for XXX is what?,
P569,date of birth,The birth date of XXX is what?,
P570,date of death,Which is the date of death for XXX?,Welches ist das Todesdatum von XXX?
P570,date of death,When did XXX's death occur?,Wann starb XXX?
P570,date of death,What was the date of death of XXX?,
P570,date of death,What was the date of death for XXX?,
P570,date of death,What is the date of death for XXX?,
P570,date of death,What date did XXX die?,An welchem Datum starb XXX?
P570,date of death,The year XXX died was what?,In welchem Jahr starb XXX?
P570,date of death,When did the life of XXX end?,
P570,date of death,When did XXX die?,
P570,date of death,What was the death date of XXX?,Wann ist das Todesdatum von XXX?
P570,date of death,What was the date of XXX's death?,
P570,date of death,What is the date of XXX's death?,
P570,date of death,The death of XXX occured on what date?,
P570,date of death,The date of death for XXX is what?,
P570,date of death,On which date did XXX die?,
P570,date of death,On what date did XXX die?,
P570,date of death,When was XXX's death?,
P570,date of death,On what date did XXX expire?,
P570,date of death,What year did XXX die?,In welchem Jahr ist XXX gestorben?
P570,date of death,What year did XXX die in?,
P570,date of death,What date did XXX die on?,
P1619,date of official opening,When was the opening of XXX?,YYY XXX wurde wann eröffnet?
P1619,date of official opening,What was the date of the opening of XXX?,An welchem Datum wurde YYY XXX eröffnet?
P1619,date of official opening,When was the official opening of XXX?,
P1619,date of official opening,When was XXX opened?,Wann wurde YYY XXX eröffnet?
P1619,date of official opening,When was XXX founded?,Wann wurde YYY XXX gegründet?
P1619,date of official opening,When was XXX created?,
P1619,date of official opening,When did XXX open?,
P1619,date of official opening,When did XXX begin?,
P1619,date of official opening,When date was the official opening of XXX?,An welchem Datum wurde YYY XXX offiziell eröffnet?
P1619,date of official opening,When was XXX founded/built?,
P1619,date of official opening,What was the date of the official opening of XXX?,
P1619,date of official opening,When was XXX started?,
P1619,date of official opening,What year was XXX opened?,
P1619,date of official opening,When was XXX opened officially?,
P287,designer,Who worked on designing XXX?,YYY XXX wurde von wem entworfen?
P287,designer,What is the name of the person who designed XXX?,Wer entwarf YYYa XXX?
P287,designer,Who designed the XXX?,Welcher Designer entwarf YYYa XXX?
P287,designer,Who desigened XXX?,
P287,designer,Which is the designer of XXX?,
P287,designer,Who is the designer of XXX?,Welcher Designer hat an YYYd XXX gearbeitet?
P287,designer,Who worked on XXX?,Wer hat an YYYd XXX gearbeitet?
P178,developer,With which development company would you associate XXX?,Welche Firma entwickelte XXX?
P178,developer,Who is the developer of XXX?,XXX wurde von wem entwickelt?
P178,developer,Which developer released XXX?,Welcher Entwickler hat XXX veröffentlicht?
P178,developer,Which company developed the videogame XXX?,Welche Firma hat das Videospiel XXX entwickelt?
P178,developer,What is the name of XXX's developer?,Wie heißt der Entwickler von XXX?
P178,developer,Which company developed XXX?,Welches Unternehmen hat XXX entwickelt?
P178,developer,Who is originally behind the development of XXX?,Wer steht ursprünglich hinter der Entwicklung von XXX?
P178,developer,By whom was XXX developed?,
P57,director,Who was the person who directed XXX?,Wer war der Regisseur von XXX?
P57,director,Who was the director of XXX?,Wer führte Regie in XXX?
P57,director,Who was the director for XXX?,
P57,director,Who was XXX directed by?,
P57,director,Who is the director for XXX?,
P57,director,Who had the role of director in XXX?,
P57,director,Who directed the film XXX?,Wer hat im Film XXX Regie geführt?
P57,director,Who directed XXX?,Wer führte Regie im Film XXX?
P57,director,Which director worked on XXX?,
P57,director,What was the name of the director for XXX?,Wie hieß der Regisseur von XXX?
P57,director,What is the director of XXX?,
P57,director,What is the name of the director of XXX?,
P57,director,"Who is the director of the film, XXX?",Wer ist der Regisseur des Films XXX?
P57,director,Who is the director of XXX?,
P57,director,Which director helmed the movie XXX?,Welcher Regisseur hat den Film XXX gedreht?
P57,director,The director of XXX is who?,
P57,director,Under whose direction was XXX produced?,Unter wessen Leitung wurde XXX produziert?
P57,director,The film XXX was directed by who?,
P57,director,Who was responsible for the direction of XXX?,Wer war übernahm die Regie für XXX?
P57,director,Who id the director for XXX?,
P57,director,The main director of XXX was who?,
P57,director,The director of XXX is what?,
P57,director,Whose direction is XXX?,
P57,director,Who was XXX was directed by?,
P57,director,Who served as director for XXX?,
P57,director,XXX a 2001 german drama film directed by ?,
P61,discoverer or inventor,Who was the discoverer of XXX?,YYY XXX wurde von wem entdeckt?
P61,discoverer or inventor,Who was the original discoverer of XXX?,
P61,discoverer or inventor,Who discovered XXX?,Wer hat YYYa XXX entdeckt?
P61,discoverer or inventor,By whom was XXX discovered?,Von wem wurde YYY XXX entdeckt?
P61,discoverer or inventor,Who made the discovery of XXX?,
P61,discoverer or inventor,Who made XXX known?,Wer hat YYYa XXX bekannt gemacht?
P61,discoverer or inventor,What is the name of the person who discovered XXX?,"Wie heißt die Person, die YYYa XXX entdeckt hat?"
P61,discoverer or inventor,Who was responsible for the discovery of XXX?,
P61,discoverer or inventor,Who would be the first to discover XXX?,"Wer war der Erste, der YYYa XXX entdeckte?"
P61,discoverer or inventor,Who was behind the discovery of XXX?,
P61,discoverer or inventor,Who discovered the XXX?,
P61,discoverer or inventor,What was the name of the discoverer of XXX?,YYY XXX wurde von wem erfunden?
P61,discoverer or inventor,The inventor of XXX was whom?,
P61,discoverer or inventor,The XXX was discovered by whom?,
P61,discoverer or inventor,Who found XXX?,
P576,dissolved or abolished,Which year did XXX end?,
P576,dissolved or abolished,What year did XXX end?,In welchem Jahr endete YYY XXX?
P576,dissolved or abolished,What is the final year of XXX?,
P576,dissolved or abolished,What year was the end of XXX?,
P576,dissolved or abolished,What year was it when XXX was dissolved?,YYY XXX wurde in welchem Jahr aufgelöst?
P576,dissolved or abolished,What is the ending year of XXX?,Wann wurde YYY XXX aufgelöst?
P576,dissolved or abolished,When was XXX abolished?,Wann wurde YYY XXX abgeschafft?
P576,dissolved or abolished,What year did XXX dissolve?,In welchem Jahr wurde YYY XXX abgeschafft?
P576,dissolved or abolished,In which year XXX ceased to exist?,
P750,distributor,What was the production company for XXX?,XXX wurde von welcher Firma produziert?
P750,distributor,What company produced XXX?,
P750,distributor,Which was the production company for XXX?,
P750,distributor,Who was XXX released by?,Von wem wurde XXX veröffentlicht?
P750,distributor,Which is the distributor of XXX?,
P750,distributor,Which digital media publicised XXX?,
P750,distributor,What studio released XXX?,Welches Studio hat XXX veröffentlicht?
P750,distributor,Who was the distributor of XXX?,
P750,distributor,The production company for XXX was what?,
P750,distributor,Who distributed XXX?,Wer hat XXX produziert?
P750,distributor,What company released XXX?,Welche Firma hat XXX veröffentlicht?
P750,distributor,Who released XXX?,Wer hat XXX veröffentlicht?
P750,distributor,Who produced or published XXX?,
P750,distributor,What company made XXX?,Welche Firma hat XXX gemacht?
P750,distributor,What company distributed XXX?,
P750,distributor,The distributor of XXX was whom?,
P750,distributor,The distributor of XXX is whom?,
P750,distributor,What company was XXX released by?,
P750,distributor,What studio realeased the movie XXX?,Welches Studio hat den Film XXX veröffentlicht?
P750,distributor,What is the name of the company which distributed XXX?,"Wie heißt das Unternehmen, das XXX gemacht hat?"
P647,drafted by,What team is XXX on?,Für wen spielt XXX?
P647,drafted by,What team did XXX play for?,Für welches Team hat XXX gespielt?
P647,drafted by,On what team is XXX?,Zu welchem Team gehört XXX?
P647,drafted by,What team is XXX associated with?,XXX spielte für welches Team?
P647,drafted by,Player XXX played for which team?,XXX spielte für welche Mannschaft?
P647,drafted by,Which team does XXX play for?,Für welches Team spielt XXX?
P647,drafted by,What team does XXX belong to?,Für welche Mannschaft spielt XXX?
P98,editor,Who assembled XXX?,Wer hat XXX zusammengestellt?
P98,editor,What is the name of the editors of XXX?,Wer waren die Editoren von XXX?
P98,editor,Who was the editor of XXX?,Wer war der Herausgeber von XXX?
P69,educated at,What college did XXX go to?,Auf welches College ging XXX?
P69,educated at,What is the name of university that educated XXX?,"Wie heißt die Universität, an der XXX studiert hat?"
P69,educated at,What university did XXX attend?,
P69,educated at,Which college or university is related with XXX?,
P69,educated at,What is the university where XXX went?,An welcher Universität war XXX?
P69,educated at,What is the name university that educated XXX?,
P69,educated at,Where did XXX study or work?,Wo hat XXX studiert oder gearbeitet?
P69,educated at,The college XXX attended was what?,
P108,employer,What is XXX's place of employment?,Wo ist der Arbeitsplatz von XXX?
P582,end time,On what date did XXX end?,An welchem Datum endete YYY XXX?
P22,father,Who fathered XXX?,Wer hat XXX gezeugt?
P22,father,What was the name of the father of XXX?,Wie hieß der Vater von XXX?
P22,father,Who is XXX's dad?,Wer ist der Vater von XXX?
P22,father,The father of XXX was who?,Der Vater von XXX war wer?
P22,father,Who was the male parent of XXX?,
P22,father,What is the name of XXX father?,
P22,father,Who was the dad of XXX?,
P22,father,Who was XXX's father?,
P22,father,Who is the paternal progenitor of XXX?,
P22,father,Who is XXX's father?,
P22,father,Who is listed as XXX father?,
P22,father,Who was XXX's paternal figure?,
P22,father,What is XXX's father's name?,Wie heißt der Vater von XXX?
P22,father,The father of XXX is whom?,Welchen Namen hat der Vater von XXX?
P1040,film editor,Who was the film director that directed XXX?,Wer war der Editor von XXX?
P1040,film editor,Who was XXX directed or edited by?,Von wem wurde XXX bearbeitet?
P1040,film editor,What was the director's name of XXX?,
P1040,film editor,The movie XXX is by whom?,
P1040,film editor,Which director directed XXX?,
P1040,film editor,By whom was XXX was directed or edited by?,
P1040,film editor,Who directed or edited XXX?,Wer hat XXX bearbeitet?
P1040,film editor,Who was responsible for directing XXX?,Wer war für die Regie von XXX verantwortlich?
P1040,film editor,Which director worked on the film XXX?,
P703,found in taxon,Which species has the XXX gene?,Welche Art hat das Gen XXX?
P703,found in taxon,What species is XXX specific to?,Für welche Art ist XXX spezifisch?
P703,found in taxon,In what living being can XXX be found?,In welchem Lebewesen kann XXX gefunden werden?
P112,founder,Which person formed XXX?,Welche Person hat XXX gegründet?
P112,founder,Who formed XXX?,Wer hat XXX gegründet?
P112,founder,Who is responsible for founding XXX?,Wer ist für die Gründung von XXX verantwortlich?
P112,founder,Which person is involved in the founding of XXX?,Welche Person war an der Gründung von XXX beteiligt?
P112,founder,Who started XXX?,
P112,founder,Who founded XXX?,
P112,founder,Who is the founder of XXX?,Wer ist der Gründer von XXX?
P112,founder,Which is the founder of XXX?,
P112,founder,What is the name of the founder of XXX?,Wie heißt der Gründer von XXX?
P1080,from fictional universe,What is the name of the fictional universe that XXX is from?,"Wie heißt das fiktive Universum, aus dem XXX stammt?"
P1080,from fictional universe,In which fictional universe is XXX a character?,In welchem fiktiven Universum lebt XXX?
P1080,from fictional universe,Which fictional universe is XXX from?,Aus welchem fiktiven Universum stammt XXX?
P1080,from fictional universe,What is the fictional universe that XXX appears in?,In welchem fiktionalen Universum erscheint XXX?
P1080,from fictional universe,Which fictional universe is XXX part of?,Zu welchem fiktiven Universum gehört XXX?
P1080,from fictional universe,With which fictional universe is the character XXX associated?,
P1080,from fictional universe,What is the fictional universe that has XXX?,"Was ist das fiktive Universum, aus dem XXX kommt?"
P1080,from fictional universe,In which fictional universe does XXX exist?,In welchem fiktiven Universum gibt es XXX?
P1080,from fictional universe,What type of universe is XXX a fictional character in?,
P1080,from fictional universe,What fictional universe is XXX a part of?,
P1080,from fictional universe,What is the universe that XXX exists in?,
P1080,from fictional universe,What is the fictional universe that XXX belong to?,
P6,head of government,Who became the leader of XXX?,Wer wurde der Regierungschef von XXX?
P6,head of government,Which person was the head of government of XXX?,Welche Person war der Regierungschef von XXX?
P6,head of government,Who was elected leader of XXX?,Wer wurde zum Anführer von XXX gewählt?
P6,head of government,Who was in charge of XXX?,
P159,headquarters location,Which city is XXX located in?,In welcher Stadt befindet sich XXX?
P159,headquarters location,What city is the headquarters of XXX?,Welche Stadt ist der Hauptsitz von XXX?
