Property ID,Property                                        ,Original                                                               ,Google Translate                                                       ,Human Translated
P113       ,airline hub                                     ,Which airline hub does XXX operate out of?                             ,Which airline hub does XXX operate out of?                             ,Which airline hub does XXX operate out of?
P84        ,architect                                       ,Who was the architect involved with XXX?                               ,Who was the architect involved with XXX?                               ,Who was the architect involved with XXX?
P84        ,architect                                       ,Who was XXX designed by?                                               ,Who was XXX designed by?                                               ,Who was XXX designed by?
P84        ,architect                                       ,Which person is the architect of XXX?                                  ,Which person is the architect of XXX?                                  ,Which person is the architect of XXX?
P84        ,architect                                       ,Which designer was responsible for XXX?                                ,Which designer was responsible for XXX?                                ,Which designer was responsible for XXX?
P84        ,architect                                       ,Who was the architect that designed XXX?                               ,Who was the architect that designed XXX?                               ,Who was the architect that designed XXX?
P84        ,architect                                       ,Who was the architect or designer of XXX?                              ,Who was the architect or designer of XXX?                              ,Who was the architect or designer of XXX?
P84        ,architect                                       ,What is the name of the XXX architect?                                 ,What is the name of the XXX architect?                                 ,What is the name of the XXX architect?
P84        ,architect                                       ,The XXX project's architect was who?                                   ,The XXX project's architect was who?                                   ,The XXX project's architect was who?
P84        ,architect                                       ,Who is the architect for XXX?                                          ,Who is the architect for XXX?                                          ,Who is the architect for XXX?
P84        ,architect                                       ,Who was the designer of XXX?                                           ,Who was the designer of XXX?                                           ,Who was the designer of XXX?
P84        ,architect                                       ,The designer for XXX was?                                              ,The designer for XXX was?                                              ,The designer for XXX was?
P84        ,architect                                       ,Who was behind the creation of XXX?                                    ,Who was behind the creation of XXX?                                    ,Who was behind the creation of XXX?
P84        ,architect                                       ,Which person was the architect of XXX?                                 ,Which person was the architect of XXX?                                 ,Which person was the architect of XXX?
P84        ,architect                                       ,What was the name of the architect who worked on XXX?                  ,What was the name of the architect who worked on XXX?                  ,What was the name of the architect who worked on XXX?
P84        ,architect                                       ,The architect of XXX was whom?                                         ,The architect of XXX was whom?                                         ,The architect of XXX was whom?
P84        ,architect                                       ,Who designed XXX?                                                      ,Who designed XXX?                                                      ,Who designed XXX?
P84        ,architect                                       ,What architect designed XXX?                                           ,What architect designed XXX?                                           ,What architect designed XXX?
P84        ,architect                                       ,Who was the designor of XXX?                                           ,Who was the designor of XXX?                                           ,Who was the designor of XXX?
P84        ,architect                                       ,Who was the main designer of XXX?                                      ,Who was the main designer of XXX?                                      ,Who was the main designer of XXX?
P84        ,architect                                       ,Who is the architect of XXX?                                           ,Who is the architect of XXX?                                           ,Who is the architect of XXX?
P84        ,architect                                       ,Which architect was responsible for XXX?                               ,Which architect was responsible for XXX?                               ,Which architect was responsible for XXX?
P84        ,architect                                       ,What was the designer of XXX's name?                                   ,What was the designer of XXX's name?                                   ,What was the designer of XXX's name?
P84        ,architect                                       ,By which person XXX has been designed?                                 ,By which person XXX has been designed?                                 ,By which person XXX has been designed?
P84        ,architect                                       ,Who created XXX?                                                       ,Who created XXX?                                                       ,Who created XXX?
P84        ,architect                                       ,Which was the architect for XXX?                                       ,Which was the architect for XXX?                                       ,Which was the architect for XXX?
P84        ,architect                                       ,The architect of XXX is whom?                                          ,The architect of XXX is whom?                                          ,The architect of XXX is whom?
P84        ,architect                                       ,Who was responsible for the design of XXX?                             ,Who was responsible for the design of XXX?                             ,Who was responsible for the design of XXX?
P84        ,architect                                       ,The architect of XXX was who?                                          ,The architect of XXX was who?                                          ,The architect of XXX was who?
P84        ,architect                                       ,Who was mainly responsible for the design of XXX?                      ,Who was mainly responsible for the design of XXX?                      ,Who was mainly responsible for the design of XXX?
P149       ,architectural style                             ,The art style of XXX is what?                                          ,The art style of XXX is what?                                          ,The art style of XXX is what?
P149       ,architectural style                             ,Of what style is XXX?                                                  ,Of what style is XXX?                                                  ,Of what style is XXX?
P149       ,architectural style                             ,Which is the kind of art style of XXX?                                 ,Which is the kind of art style of XXX?                                 ,Which is the kind of art style of XXX?
P50        ,author                                          ,Whose writing work is XXX?                                             ,Whose writing work is XXX?                                             ,Whose writing work is XXX?
P50        ,author                                          ,Who wrote the work XXX?                                                ,Who wrote the work XXX?                                                ,Who wrote the work XXX?
P50        ,author                                          ,Who is the author of XXX?                                              ,Who is the author of XXX?                                              ,Who is the author of XXX?
P50        ,author                                          ,Who authored XXX?                                                      ,Who authored XXX?                                                      ,Who authored XXX?
P50        ,author                                          ,Which author is responsible for XXX?                                   ,Which author is responsible for XXX?                                   ,Which author is responsible for XXX?
P50        ,author                                          ,Which author is associated with the work of XXX?                       ,Which author is associated with the work of XXX?                       ,Which author is associated with the work of XXX?
P50        ,author                                          ,What writer wrote XXX?                                                 ,What writer wrote XXX?                                                 ,What writer wrote XXX?
P50        ,author                                          ,What was the author of XXX's name?                                     ,What was the author of XXX's name?                                     ,What was the author of XXX's name?
P50        ,author                                          ,What author wrote XXX?                                                 ,What author wrote XXX?                                                 ,What author wrote XXX?
P50        ,author                                          ,The writer of XXX is who?                                              ,The writer of XXX is who?                                              ,The writer of XXX is who?
P50        ,author                                          ,The literature of XXX was written by who?                              ,The literature of XXX was written by who?                              ,The literature of XXX was written by who?
P50        ,author                                          ,Who wrote XXX?                                                         ,Who wrote XXX?                                                         ,Who wrote XXX?
P50        ,author                                          ,Who was the writer of XXX?                                             ,Who was the writer of XXX?                                             ,Who was the writer of XXX?
P50        ,author                                          ,Which person has written XXX?                                          ,Which person has written XXX?                                          ,Which person has written XXX?
P50        ,author                                          ,Which author wrote XXX?                                                ,Which author wrote XXX?                                                ,Which author wrote XXX?
P50        ,author                                          ,Who was the auther of XXX?                                             ,Who was the auther of XXX?                                             ,Who was the auther of XXX?
P50        ,author                                          ,Who wrote the XXX?                                                     ,Who wrote the XXX?                                                     ,Who wrote the XXX?
P50        ,author                                          ,Which author wrote the novel titled XXX?                               ,Which author wrote the novel titled XXX?                               ,Which author wrote the novel titled XXX?
P50        ,author                                          ,What is the name of the author of XXX?                                 ,What is the name of the author of XXX?                                 ,What is the name of the author of XXX?
P50        ,author                                          ,Which author penned XXX?                                               ,Which author penned XXX?                                               ,Which author penned XXX?
P50        ,author                                          ,Who wrote the novel XXX?                                               ,Who wrote the novel XXX?                                               ,Who wrote the novel XXX?
P50        ,author                                          ,Who is the writer of XXX?                                              ,Who is the writer of XXX?                                              ,Who is the writer of XXX?
P50        ,author                                          ,Who is the creator of XXX?                                             ,Who is the creator of XXX?                                             ,Who is the creator of XXX?
P50        ,author                                          ,The one who wrote the XXX?                                             ,The one who wrote the XXX?                                             ,The one who wrote the XXX?
P50        ,author                                          ,Who is the XXX by?                                                     ,Who is the XXX by?                                                     ,Who is the XXX by?
P50        ,author                                          ,Who was XXX written by?                                                ,Who was XXX written by?                                                ,Who was XXX written by?
P50        ,author                                          ,The XXX is by whom?                                                    ,The XXX is by whom?                                                    ,The XXX is by whom?
P166       ,award received                                  ,What award was received by XXX?                                        ,What award was received by XXX?                                        ,What award was received by XXX?
P166       ,award received                                  ,Which award did XXX get?                                               ,Which award did XXX get?                                               ,Which award did XXX get?
P166       ,award received                                  ,What was the award received by XXX?                                    ,What was the award received by XXX?                                    ,What was the award received by XXX?
P166       ,award received                                  ,Which award was honoured to XXX?                                       ,Which award was honoured to XXX?                                       ,Which award was honoured to XXX?
P166       ,award received                                  ,Which award was bestowed upon XXX?                                     ,Which award was bestowed upon XXX?                                     ,Which award was bestowed upon XXX?
P144       ,based on                                        ,The XXX is based upon what?                                            ,The XXX is based upon what?                                            ,The XXX is based upon what?
P144       ,based on                                        ,Which is the basis of XXX?                                             ,Which is the basis of XXX?                                             ,Which is the basis of XXX?
P3373      ,brother                                         ,What is XXX's brothers name?                                           ,What is XXX's brothers name?                                           ,What is XXX's brothers name?
P3373      ,brother                                         ,Who was the brother of XXX?                                            ,Who was the brother of XXX?                                            ,Who was the brother of XXX?
P411       ,canonization status                             ,What title is held by XXX?                                             ,What title is held by XXX?                                             ,What title is held by XXX?
P161       ,cast member                                     ,Who has acted in the film XXX?                                         ,Who has acted in the film XXX?                                         ,Who has acted in the film XXX?
P161       ,cast member                                     ,Who featured in the film XXX?                                          ,Who featured in the film XXX?                                          ,Who featured in the film XXX?
P161       ,cast member                                     ,Who is in XXX as a cast member?                                        ,Who is in XXX as a cast member?                                        ,Who is in XXX as a cast member?
P161       ,cast member                                     ,Who has acted in the comedy film XXX?                                  ,Who has acted in the comedy film XXX?                                  ,Who has acted in the comedy film XXX?
P161       ,cast member                                     ,Who are the stars of the film XXX?                                     ,Who are the stars of the film XXX?                                     ,Who are the stars of the film XXX?
P161       ,cast member                                     ,Who acted in XXX?                                                      ,Who acted in XXX?                                                      ,Who acted in XXX?
P161       ,cast member                                     ,Who was the star of XXX?                                               ,Who was the star of XXX?                                               ,Who was the star of XXX?
P161       ,cast member                                     ,Who are the cast members of XXX?                                       ,Who are the cast members of XXX?                                       ,Who are the cast members of XXX?
P161       ,cast member                                     ,What cast members where in XXX?                                        ,What cast members where in XXX?                                        ,What cast members where in XXX?
P161       ,cast member                                     ,"In the film XXX, who was the star?"                                   ,"In the film XXX, who was the star?"                                   ,"In the film XXX, who was the star?"
P509       ,cause of death                                  ,Why did XXX die?                                                       ,Why did XXX die?                                                       ,Why did XXX die?
P509       ,cause of death                                  ,Which ailment caused the death of XXX?                                 ,Which ailment caused the death of XXX?                                 ,Which ailment caused the death of XXX?
P509       ,cause of death                                  ,What was XXX's cause of death?                                         ,What was XXX's cause of death?                                         ,What was XXX's cause of death?
P509       ,cause of death                                  ,What kind of medical issue did XXX have?                               ,What kind of medical issue did XXX have?                               ,What kind of medical issue did XXX have?
P509       ,cause of death                                  ,What killed XXX?                                                       ,What killed XXX?                                                       ,What killed XXX?
P509       ,cause of death                                  ,What is the cause of death for XXX?                                    ,What is the cause of death for XXX?                                    ,What is the cause of death for XXX?
P509       ,cause of death                                  ,The cause of death of XXX is what?                                     ,The cause of death of XXX is what?                                     ,The cause of death of XXX is what?
P509       ,cause of death                                  ,What caused XXX's death?                                               ,What caused XXX's death?                                               ,What caused XXX's death?
P509       ,cause of death                                  ,What was the cause of death for XXX?                                   ,What was the cause of death for XXX?                                   ,What was the cause of death for XXX?
P509       ,cause of death                                  ,What was XXX cause of death?                                           ,What was XXX cause of death?                                           ,What was XXX cause of death?
P509       ,cause of death                                  ,What medical condition killed XXX?                                     ,What medical condition killed XXX?                                     ,What medical condition killed XXX?
P509       ,cause of death                                  ,What is the cause of death of XXX?                                     ,What is the cause of death of XXX?                                     ,What is the cause of death of XXX?
P509       ,cause of death                                  ,What did XXX die from?                                                 ,What did XXX die from?                                                 ,What did XXX die from?
P509       ,cause of death                                  ,The cause of death for XXX was what?                                   ,The cause of death for XXX was what?                                   ,The cause of death for XXX was what?
P509       ,cause of death                                  ,Of what did XXX die?                                                   ,Of what did XXX die?                                                   ,Of what did XXX die?
P509       ,cause of death                                  ,From what did XXX die?                                                 ,From what did XXX die?                                                 ,From what did XXX die?
P509       ,cause of death                                  ,Due to which disease did XXX die?                                      ,Due to which disease did XXX die?                                      ,Due to which disease did XXX die?
P509       ,cause of death                                  ,What was the cause of XXX's death?                                     ,What was the cause of XXX's death?                                     ,What was the cause of XXX's death?
P509       ,cause of death                                  ,Which is the cause of death of XXX?                                    ,Which is the cause of death of XXX?                                    ,Which is the cause of death of XXX?
P509       ,cause of death                                  ,How did XXX die?                                                       ,How did XXX die?                                                       ,How did XXX die?
P509       ,cause of death                                  ,What was the cause of death of XXX?                                    ,What was the cause of death of XXX?                                    ,What was the cause of death of XXX?
P509       ,cause of death                                  ,What disease did XXX have?                                             ,What disease did XXX have?                                             ,What disease did XXX have?
P509       ,cause of death                                  ,What did XXX die of?                                                   ,What did XXX die of?                                                   ,What did XXX die of?
P509       ,cause of death                                  ,The disease that XXX died of was what?                                 ,The disease that XXX died of was what?                                 ,The disease that XXX died of was what?
P488       ,chairperson                                     ,Who led XXX?                                                           ,Who led XXX?                                                           ,Who led XXX?
P674       ,characters                                      ,The XXX has what character?                                            ,The XXX has what character?                                            ,The XXX has what character?
P40        ,child                                           ,Who is the offspring of XXX?                                           ,Who is the offspring of XXX?                                           ,Who is the offspring of XXX?
P40        ,child                                           ,What was XXX's child's name?                                           ,What was XXX's child's name?                                           ,What was XXX's child's name?
P1057      ,chromosome                                      ,What is the name of the chromosome where you can find XXX?             ,What is the name of the chromosome where you can find XXX?             ,What is the name of the chromosome where you can find XXX?
P1057      ,chromosome                                      ,On what chromosome is XXX found?                                       ,On what chromosome is XXX found?                                       ,On what chromosome is XXX found?
P1057      ,chromosome                                      ,Which chromosome is the gene XXX located on?                           ,Which chromosome is the gene XXX located on?                           ,Which chromosome is the gene XXX located on?
P1057      ,chromosome                                      ,Which  chromosome is related with XXX?                                 ,Which  chromosome is related with XXX?                                 ,Which  chromosome is related with XXX?
P1057      ,chromosome                                      ,On what chromosome is XXX located?                                     ,On what chromosome is XXX located?                                     ,On what chromosome is XXX located?
P1057      ,chromosome                                      ,What chromosome is XXX?                                                ,What chromosome is XXX?                                                ,What chromosome is XXX?
P1057      ,chromosome                                      ,What is the name of XXX's chromosome?                                  ,What is the name of XXX's chromosome?                                  ,What is the name of XXX's chromosome?
P1057      ,chromosome                                      ,Which chromosome is XXX found on?                                      ,Which chromosome is XXX found on?                                      ,Which chromosome is XXX found on?
P1057      ,chromosome                                      ,Which chromosome is XXX located?                                       ,Which chromosome is XXX located?                                       ,Which chromosome is XXX located?
P1057      ,chromosome                                      ,Where is the gene XXX located?                                         ,Where is the gene XXX located?                                         ,Where is the gene XXX located?
P1057      ,chromosome                                      ,Which chromosone can you find XXX?                                     ,Which chromosone can you find XXX?                                     ,Which chromosone can you find XXX?
P1057      ,chromosome                                      ,Which chromosome is XXX associated with?                               ,Which chromosome is XXX associated with?                               ,Which chromosome is XXX associated with?
P195       ,collection                                      ,What is the name of the place where XXX can be found?                  ,What is the name of the place where XXX can be found?                  ,What is the name of the place where XXX can be found?
P1027      ,conferred by                                    ,Who gives out the XXX award?                                           ,Who gives out the XXX award?                                           ,Who gives out the XXX award?
P607       ,conflict                                        ,Which historic war did XXX participate?                                ,Which historic war did XXX participate?                                ,Which historic war did XXX participate?
P607       ,conflict                                        ,What war did XXX participate in?                                       ,What war did XXX participate in?                                       ,What war did XXX participate in?
P607       ,conflict                                        ,In which war/battle did XXX fight?                                     ,In which war/battle did XXX fight?                                     ,In which war/battle did XXX fight?
P607       ,conflict                                        ,In what war did XXX fight?                                             ,In what war did XXX fight?                                             ,In what war did XXX fight?
P607       ,conflict                                        ,During which historic war was XXX an officer?                          ,During which historic war was XXX an officer?                          ,During which historic war was XXX an officer?
P607       ,conflict                                        ,In which war did XXX serve?                                            ,In which war did XXX serve?                                            ,In which war did XXX serve?
P607       ,conflict                                        ,In which war did XXX participate?                                      ,In which war did XXX participate?                                      ,In which war did XXX participate?
P607       ,conflict                                        ,In which war did XXX fought?                                           ,In which war did XXX fought?                                           ,In which war did XXX fought?
P607       ,conflict                                        ,What war was XXX in?                                                   ,What war was XXX in?                                                   ,What war was XXX in?
P607       ,conflict                                        ,What was the war that XXX fought in?                                   ,What was the war that XXX fought in?                                   ,What was the war that XXX fought in?
P607       ,conflict                                        ,In which war did XXX fight?                                            ,In which war did XXX fight?                                            ,In which war did XXX fight?
P607       ,conflict                                        ,In what war was XXX a combatant?                                       ,In what war was XXX a combatant?                                       ,In what war was XXX a combatant?
P607       ,conflict                                        ,In which conflict did XXX participate?                                 ,In which conflict did XXX participate?                                 ,In which conflict did XXX participate?
P607       ,conflict                                        ,What war did XXX fight in?                                             ,What war did XXX fight in?                                             ,What war did XXX fight in?
P607       ,conflict                                        ,Which war did XXX serve in?                                            ,Which war did XXX serve in?                                            ,Which war did XXX serve in?
P607       ,conflict                                        ,In what war did XXX fight in?                                          ,In what war did XXX fight in?                                          ,In what war did XXX fight in?
P607       ,conflict                                        ,Which war was XXX in?                                                  ,Which war was XXX in?                                                  ,Which war was XXX in?
P607       ,conflict                                        ,What is the war during which XXX was in the armed forces?              ,What is the war during which XXX was in the armed forces?              ,What is the war during which XXX was in the armed forces?
P607       ,conflict                                        ,In what war was XXX in?                                                ,In what war was XXX in?                                                ,In what war was XXX in?
P607       ,conflict                                        ,Which war did XXX participate in?                                      ,Which war did XXX participate in?                                      ,Which war did XXX participate in?
P607       ,conflict                                        ,Which conflict was XXX a part of?                                      ,Which conflict was XXX a part of?                                      ,Which conflict was XXX a part of?
P607       ,conflict                                        ,What war or battle involved XXX?                                       ,What war or battle involved XXX?                                       ,What war or battle involved XXX?
P607       ,conflict                                        ,What war or battle did XXX fight in?                                   ,What war or battle did XXX fight in?                                   ,What war or battle did XXX fight in?
P607       ,conflict                                        ,What conflict involved XXX?                                            ,What conflict involved XXX?                                            ,What conflict involved XXX?
P607       ,conflict                                        ,Which war was XXX a part of?                                           ,Which war was XXX a part of?                                           ,Which war was XXX a part of?
P81        ,connecting line                                 ,What is the line for XXX station?                                      ,What is the line for XXX station?                                      ,What is the line for XXX station?
P81        ,connecting line                                 ,On which railway line is the railway station XXX located?              ,On which railway line is the railway station XXX located?              ,On which railway line is the railway station XXX located?
P81        ,connecting line                                 ,What is the rail line that XXX runs?                                   ,What is the rail line that XXX runs?                                   ,What is the rail line that XXX runs?
P81        ,connecting line                                 ,What rail line does XXX serve?                                         ,What rail line does XXX serve?                                         ,What rail line does XXX serve?
P81        ,connecting line                                 ,What line is XXX a part of?                                            ,What line is XXX a part of?                                            ,What line is XXX a part of?
P81        ,connecting line                                 ,What line is XXX on?                                                   ,What line is XXX on?                                                   ,What line is XXX on?
P81        ,connecting line                                 ,What rail line is served by XXX?                                       ,What rail line is served by XXX?                                       ,What rail line is served by XXX?
P81        ,connecting line                                 ,What is the name of the line XXX is located?                           ,What is the name of the line XXX is located?                           ,What is the name of the line XXX is located?
P81        ,connecting line                                 ,Which line does XXX form a part of?                                    ,Which line does XXX form a part of?                                    ,Which line does XXX form a part of?
P81        ,connecting line                                 ,On which railway line is the railway station XXX situated?             ,On which railway line is the railway station XXX situated?             ,On which railway line is the railway station XXX situated?
P81        ,connecting line                                 ,What is the line for XXX?                                              ,What is the line for XXX?                                              ,What is the line for XXX?
P59        ,constellation                                   ,What is the name of the constellation which XXX belongs?               ,What is the name of the constellation which XXX belongs?               ,What is the name of the constellation which XXX belongs?
P59        ,constellation                                   ,What is the name of the constellation where XXX belongs?               ,What is the name of the constellation where XXX belongs?               ,What is the name of the constellation where XXX belongs?
P59        ,constellation                                   ,Of which constellation is XXX a part?                                  ,Of which constellation is XXX a part?                                  ,Of which constellation is XXX a part?
P59        ,constellation                                   ,In which constellation is XXX?                                         ,In which constellation is XXX?                                         ,In which constellation is XXX?
P59        ,constellation                                   ,Which constellation is formed by XXX?                                  ,Which constellation is formed by XXX?                                  ,Which constellation is formed by XXX?
P59        ,constellation                                   ,What constellation is XXX part of?                                     ,What constellation is XXX part of?                                     ,What constellation is XXX part of?
P59        ,constellation                                   ,What constellation is XXX located in?                                  ,What constellation is XXX located in?                                  ,What constellation is XXX located in?
P59        ,constellation                                   ,What constellation does XXX belong to?                                 ,What constellation does XXX belong to?                                 ,What constellation does XXX belong to?
P59        ,constellation                                   ,Which constellation is XXX in?                                         ,Which constellation is XXX in?                                         ,Which constellation is XXX in?
P59        ,constellation                                   ,Which was the constellation for XXX?                                   ,Which was the constellation for XXX?                                   ,Which was the constellation for XXX?
P59        ,constellation                                   ,The star/galaxy XXX is in what constellation?                          ,The star/galaxy XXX is in what constellation?                          ,The star/galaxy XXX is in what constellation?
P59        ,constellation                                   ,The star XXX is part of the constellation known as what?               ,The star XXX is part of the constellation known as what?               ,The star XXX is part of the constellation known as what?
P59        ,constellation                                   ,The star XXX is a part of the constellation named what?                ,The star XXX is a part of the constellation named what?                ,The star XXX is a part of the constellation named what?
P59        ,constellation                                   ,In what constellation can XXX be found?                                ,In what constellation can XXX be found?                                ,In what constellation can XXX be found?
