Property ID,Property                                        ,Original                                                               ,Human Translated
P149       ,architectural style                             ,The art style of XXX is what?                                          ,
P149       ,architectural style                             ,Of what style is XXX?                                                  ,
P149       ,architectural style                             ,Which is the kind of art style of XXX?                                 ,Qual è lo stile artistico diYYY XXX?
P50        ,author                                          ,Whose writing work is XXX?                                             ,
P50        ,author                                          ,Who wrote the work XXX?                                                ,
P50        ,author                                          ,Who is the author of XXX?                                              ,Chi è l'autore diYYY XXX?
P50        ,author                                          ,Who authored XXX?                                                      ,Chi ha scritto YYY XXX?
P50        ,author                                          ,Which author is responsible for XXX?                                   ,
P50        ,author                                          ,Which author is associated with the work of XXX?                       ,
P50        ,author                                          ,What writer wrote XXX?                                                 ,Quale scrittore ha scritto YYY XXX?
P50        ,author                                          ,What was the author of XXX's name?                                     ,
P50        ,author                                          ,What author wrote XXX?                                                 ,Quale autore ha scritto YYY XXX?
P50        ,author                                          ,The writer of XXX is who?                                              ,
P50        ,author                                          ,The literature of XXX was written by who?                              ,
P50        ,author                                          ,Who wrote XXX?                                                         ,Chi ha scritto YYY XXX?
P50        ,author                                          ,Who was the writer of XXX?                                             ,
P50        ,author                                          ,Which person has written XXX?                                          ,Quale persona ha scritto YYY XXX?
P50        ,author                                          ,Which author wrote XXX?                                                ,
P50        ,author                                          ,Who was the auther of XXX?                                             ,Chi era l'autore diYYY XXX?
P50        ,author                                          ,Who wrote the XXX?                                                     ,
P50        ,author                                          ,Which author wrote the novel titled XXX?                               ,
P50        ,author                                          ,What is the name of the author of XXX?                                 ,
P50        ,author                                          ,Which author penned XXX?                                               ,
P50        ,author                                          ,Who wrote the novel XXX?                                               ,
P50        ,author                                          ,Who is the writer of XXX?                                              ,
P50        ,author                                          ,Who is the creator of XXX?                                             ,
P50        ,author                                          ,The one who wrote the XXX?                                             ,
P50        ,author                                          ,Who is the XXX by?                                                     ,
P50        ,author                                          ,Who was XXX written by?                                                ,
P50        ,author                                          ,The XXX is by whom?                                                    ,
P166       ,award received                                  ,What award was received by XXX?                                        ,Quale premio è stato ricevuto da XXX?
P166       ,award received                                  ,Which award did XXX get?                                               ,Quale premio ha ottenuto XXX?
P166       ,award received                                  ,What was the award received by XXX?                                    ,Qual è stato il premio ricevuto da XXX?
P166       ,award received                                  ,Which award was honoured to XXX?                                       ,
P166       ,award received                                  ,Which award was bestowed upon XXX?                                     ,Quale premio è stato conferito a XXX?
P144       ,based on                                        ,The XXX is based upon what?                                            ,Su cosa si basa YYY XXX?
P144       ,based on                                        ,Which is the basis of XXX?                                             ,Qual è la base diYYY XXX?
P3373      ,brother                                         ,What is XXX's brothers name?                                           ,Qual è il nome del fratello di XXX?
P3373      ,brother                                         ,Who was the brother of XXX?                                            ,Chi era il fratello di XXX?
P411       ,canonization status                             ,What title is held by XXX?                                             ,Quale titolo è detenuto da XXX?
P161       ,cast member                                     ,Who has acted in the film XXX?                                         ,Chi ha recitato nel film XXX?
P161       ,cast member                                     ,Who featured in the film XXX?                                          ,Chi ha partecipato al film XXX?
P161       ,cast member                                     ,Who is in XXX as a cast member?                                        ,Chi è in XXX come membro del cast?
P161       ,cast member                                     ,Who has acted in the comedy film XXX?                                  ,
P161       ,cast member                                     ,Who are the stars of the film XXX?                                     ,Chi sono le stelle del cinema del film XXX?
P161       ,cast member                                     ,Who acted in XXX?                                                      ,Chi ha recitato in XXX?
P161       ,cast member                                     ,Who was the star of XXX?                                               ,Chi era la celebrità in XXX?
P161       ,cast member                                     ,Who are the cast members of XXX?                                       ,Chi sono i membri del cast di XXX?
P161       ,cast member                                     ,What cast members where in XXX?                                        ,
P161       ,cast member                                     ,"In the film XXX, who was the star?"                                   ,"Nel film XXX, chi era la stella?"                                        ,"Nel film XXX, chi era la stella del cinema?"
P509       ,cause of death                                  ,Why did XXX die?                                                       ,
P509       ,cause of death                                  ,Which ailment caused the death of XXX?                                 ,Quale disturbo ha causato la morte di XXX?
P509       ,cause of death                                  ,What was XXX's cause of death?                                         ,Qual è stata la causa della morte di XXX?
P509       ,cause of death                                  ,What kind of medical issue did XXX have?                               ,Che tipo di problema medico ha avuto XXX?
P509       ,cause of death                                  ,What killed XXX?                                                       ,Cosa ha ucciso XXX?
P509       ,cause of death                                  ,What is the cause of death for XXX?                                    ,Qual è la causa della morte per XXX?
P509       ,cause of death                                  ,The cause of death of XXX is what?                                     ,
P509       ,cause of death                                  ,What caused XXX's death?                                               ,Cosa ha causato la morte di XXX?
P509       ,cause of death                                  ,What was the cause of death for XXX?                                   ,
P509       ,cause of death                                  ,What was XXX cause of death?                                           ,
P509       ,cause of death                                  ,What medical condition killed XXX?                                     ,Quale malattia ha ucciso XXX?
P509       ,cause of death                                  ,What is the cause of death of XXX?                                     ,
P509       ,cause of death                                  ,What did XXX die from?                                                 ,
P509       ,cause of death                                  ,The cause of death for XXX was what?                                   ,
P509       ,cause of death                                  ,Of what did XXX die?                                                   ,Di cosa è morto XXX?
P509       ,cause of death                                  ,From what did XXX die?                                                 ,
P509       ,cause of death                                  ,Due to which disease did XXX die?                                      ,A causa di quale malattia è morto XXX?
P509       ,cause of death                                  ,What was the cause of XXX's death?                                     ,Qual è stata la causa della morte di XXX?
P509       ,cause of death                                  ,Which is the cause of death of XXX?                                    ,
P509       ,cause of death                                  ,How did XXX die?                                                       ,
P509       ,cause of death                                  ,What was the cause of death of XXX?                                    ,
P509       ,cause of death                                  ,What disease did XXX have?                                             ,Che malattia ha avuto XXX?
P509       ,cause of death                                  ,What did XXX die of?                                                   ,
P509       ,cause of death                                  ,The disease that XXX died of was what?                                 ,
P488       ,chairperson                                     ,Who led XXX?                                                           ,Chi ha diretto XXX?
P674       ,characters                                      ,The XXX has what character?                                            ,Qual è un personaggio diYYY XXX?
P40        ,child                                           ,Who is the offspring of XXX?                                           ,Chi è la progenie di XXX?
P40        ,child                                           ,What was XXX's child's name?                                           ,Qual era il nome del bambino di XXX?
P1057      ,chromosome                                      ,What is the name of the chromosome where you can find XXX?             ,Qual è il nome del cromosoma in cui puoi trovare YYY XXX?
P1057      ,chromosome                                      ,On what chromosome is XXX found?                                       ,
P1057      ,chromosome                                      ,Which chromosome is the gene XXX located on?                           ,Su quale cromosoma si trova il gene XXX?
P1057      ,chromosome                                      ,Which  chromosome is related with XXX?                                 ,
P1057      ,chromosome                                      ,On what chromosome is XXX located?                                     ,Su quale cromosoma si trova XXX?
P1057      ,chromosome                                      ,What chromosome is XXX?                                                ,Quale cromosoma è XXX?
P1057      ,chromosome                                      ,What is the name of XXX's chromosome?                                  ,
P1057      ,chromosome                                      ,Which chromosome is XXX found on?                                      ,Su quale cromosoma è stato trovato XXX?
P1057      ,chromosome                                      ,Which chromosome is XXX located?                                       ,
P1057      ,chromosome                                      ,Where is the gene XXX located?                                         ,Dove si trova il gene XXX?
P1057      ,chromosome                                      ,Which chromosone can you find XXX?                                     ,
P1057      ,chromosome                                      ,Which chromosome is XXX associated with?                               ,A quale cromosoma è associato XXX?
P195       ,collection                                      ,What is the name of the place where XXX can be found?                  ,Qual è il nome del luogo in cui è possibile trovare XXX?
P1027      ,conferred by                                    ,Who gives out the XXX award?                                           ,Chi conferisce il premio XXX?
P607       ,conflict                                        ,Which historic war did XXX participate?                                ,A quale guerra storica partecipò XXX?
P607       ,conflict                                        ,What war did XXX participate in?                                       ,In quale guerra ha partecipato XXX?
P607       ,conflict                                        ,In which war/battle did XXX fight?                                     ,
P607       ,conflict                                        ,In what war did XXX fight?                                             ,In quale guerra ha combattuto XXX?
P607       ,conflict                                        ,During which historic war was XXX an officer?                          ,Durante quale guerra storica XXX è stato un ufficiale?
P607       ,conflict                                        ,In which war did XXX serve?                                            ,In quale guerra ha servito XXX?
P607       ,conflict                                        ,In which war did XXX participate?                                      ,In quale guerra ha partecipato XXX?
P607       ,conflict                                        ,In which war did XXX fought?                                           ,In quale guerra ha combattuto XXX?
P607       ,conflict                                        ,What war was XXX in?                                                   ,
P607       ,conflict                                        ,What was the war that XXX fought in?                                   ,Qual è stata la guerra in cui ha combattuto XXX?
P607       ,conflict                                        ,In which war did XXX fight?                                            ,In quale guerra ha combattuto XXX?
P607       ,conflict                                        ,In what war was XXX a combatant?                                       ,In quale guerra XXX è stato un combattente?
P607       ,conflict                                        ,In which conflict did XXX participate?                                 ,In quale conflitto ha partecipato XXX?
P607       ,conflict                                        ,What war did XXX fight in?                                             ,In che guerra ha combattuto XXX?
P607       ,conflict                                        ,Which war did XXX serve in?                                            ,In quale guerra ha servito XXX?
P607       ,conflict                                        ,In what war did XXX fight in?                                          ,In quale guerra ha combattuto XXX?
P607       ,conflict                                        ,Which war was XXX in?                                                  ,In quale guerra c'era XXX?
P607       ,conflict                                        ,What is the war during which XXX was in the armed forces?              ,Qual è la guerra durante la quale XXX era nelle forze armate?
P607       ,conflict                                        ,In what war was XXX in?                                                ,
P607       ,conflict                                        ,Which war did XXX participate in?                                      ,In quale guerra ha partecipato XXX?
P607       ,conflict                                        ,Which conflict was XXX a part of?                                      ,Di quale conflitto faceva parte XXX?
P607       ,conflict                                        ,What war or battle involved XXX?                                       ,Quale guerra o battaglia ha coinvolto XXX?
P607       ,conflict                                        ,What war or battle did XXX fight in?                                   ,In quale guerra o battaglia ha combattuto XXX?
P607       ,conflict                                        ,What conflict involved XXX?                                            ,Quale conflitto ha coinvolto XXX?
P607       ,conflict                                        ,Which war was XXX a part of?                                           ,Di quale guerra faceva parte XXX?
P81        ,connecting line                                 ,What is the line for XXX station?                                      ,Qual è la linea per la stazione XXX?
P81        ,connecting line                                 ,On which railway line is the railway station XXX located?              ,Su quale linea ferroviaria si trova la stazione XXX?
P81        ,connecting line                                 ,What is the rail line that XXX runs?                                   ,Qual è la linea ferroviaria su cui viaggia XXX?
P81        ,connecting line                                 ,What rail line does XXX serve?                                         ,Quale linea ferroviaria serve XXX?
P81        ,connecting line                                 ,What line is XXX a part of?                                            ,Di quale linea fa parte XXX?
P81        ,connecting line                                 ,What line is XXX on?                                                   ,In su quale line è XXX?
P81        ,connecting line                                 ,What rail line is served by XXX?                                       ,Quale linea ferroviaria è servita da XXX?
P81        ,connecting line                                 ,What is the name of the line XXX is located?                           ,Qual è il nome della linea su cui si trova XXX?
P81        ,connecting line                                 ,Which line does XXX form a part of?                                    ,Di quale linea fa parte XXX?
P81        ,connecting line                                 ,On which railway line is the railway station XXX situated?             ,Su quale linea ferroviaria si trova la stazione ferroviaria XXX?
P81        ,connecting line                                 ,What is the line for XXX?                                              ,
P59        ,constellation                                   ,What is the name of the constellation which XXX belongs?               ,Qual è il nome della costellazione a cui appartiene XXX?
P59        ,constellation                                   ,What is the name of the constellation where XXX belongs?               ,
P59        ,constellation                                   ,Of which constellation is XXX a part?                                  ,Di quale costellazione fa parte XXX?
P59        ,constellation                                   ,In which constellation is XXX?                                         ,In quale costellazione è XXX?
P59        ,constellation                                   ,Which constellation is formed by XXX?                                  ,Quale costellazione è formata da XXX?
P59        ,constellation                                   ,What constellation is XXX part of?                                     ,
P59        ,constellation                                   ,What constellation is XXX located in?                                  ,In quale costellazione si trova XXX?
P59        ,constellation                                   ,What constellation does XXX belong to?                                 ,
P59        ,constellation                                   ,Which constellation is XXX in?                                         ,
P59        ,constellation                                   ,Which was the constellation for XXX?                                   ,Qual è stata la costellazione di XXX?
P59        ,constellation                                   ,The star/galaxy XXX is in what constellation?                          ,La stella/galassia XXX si trova in quale costellazione?
P59        ,constellation                                   ,The star XXX is part of the constellation known as what?               ,La stella XXX fa parte della costellazione conosciuta come cosa?
P59        ,constellation                                   ,The star XXX is a part of the constellation named what?                ,
P59        ,constellation                                   ,In what constellation can XXX be found?                                ,
P59        ,constellation                                   ,What constellation is where XXX is?                                    ,
P59        ,constellation                                   ,What constellation is XXX a part of?                                   ,
P59        ,constellation                                   ,The star XXX is part of what constellation?                            ,
P59        ,constellation                                   ,What is the constellation that XXX is a part of?                       ,Qual è la costellazione di cui fa parte XXX?
P59        ,constellation                                   ,What is the constellation that is made with XXX?                       ,
P59        ,constellation                                   ,What constellation is XXX in?                                          ,
P59        ,constellation                                   ,What constellation is home to XXX?                                     ,
P59        ,constellation                                   ,What is the constellation where XXX is located?                        ,Qual è la costellazione in cui si trova XXX?
P59        ,constellation                                   ,Which constellation is XXX a part of?                                  ,
P30        ,continent                                       ,Which continent is XXX located?                                        ,In quale continente si trova YYY XXX?
P30        ,continent                                       ,What continent is XXX found on?                                        ,
P30        ,continent                                       ,What continent can you find XXX?                                       ,
P30        ,continent                                       ,On what continent can XXX be found?                                    ,
P30        ,continent                                       ,What continent contains XXX?                                           ,Quale continente contiene YYY XXX?
P30        ,continent                                       ,Which continent is XXX on?                                             ,
P30        ,continent                                       ,Which continent is XXX in?                                             ,
P30        ,continent                                       ,What is the name of the continent where XXX is located?                ,Qual è il nome del continente in cui si trova YYY XXX?
P30        ,continent                                       ,What is the continent that XXX is located?                             ,
P30        ,continent                                       ,What continent is XXX on?                                              ,In quale continente si trova YYY XXX?
P30        ,continent                                       ,What continent is XXX located on?                                      ,
P30        ,continent                                       ,On which continent is XXX located?                                     ,
P30        ,continent                                       ,In what continent XXX located?                                         ,
P30        ,continent                                       ,What is the continent of XXX?                                          ,Qual è il continente diYYY XXX?
P30        ,continent                                       ,The continent that XXX is on is what?                                  ,
P30        ,continent                                       ,The continent of XXX is what?                                          ,
P30        ,continent                                       ,In what continent is XXX in?                                           ,
P30        ,continent                                       ,In which continent is XXX located?                                     ,In quale continente si trova YYY XXX?
P1399      ,convicted of                                    ,For what crime was XXX prosecuted?                                     ,
P1399      ,convicted of                                    ,Which crime XXX is considered to have commited?                        ,Quale crimine si pensa abbia commesso XXX?
P1399      ,convicted of                                    ,Which crime led to the conviction of XXX?                              ,Quale crimine ha portato alla condanna di XXX?
P17        ,country                                         ,Which country is XXX located?                                          ,In quale paese si trova YYY XXX?
P17        ,country                                         ,Which country is XXX in?                                               ,
P17        ,country                                         ,What is the name of the country that XXX is located?                   ,Qual è il nome del paese in cui si trova YYY XXX?
P17        ,country                                         ,What is the name of the country in which XXX is located?               ,
P17        ,country                                         ,What is the name of the country XXX is in?                             ,Qual è il nome del paese in cui è presente YYY XXX?
P17        ,country                                         ,What country is home to XXX?                                           ,In quale paese si trova YYY XXX?
P17        ,country                                         ,What country is XXX located in?                                        ,
P17        ,country                                         ,What country is XXX a part of?                                         ,Di quale paese fa parte YYY XXX?
P17        ,country                                         ,In what country can XXX be found?                                      ,
P17        ,country                                         ,Which country would you find yourself in if you visited XXX?           ,
P17        ,country                                         ,In which country is XXX?                                               ,
P17        ,country                                         ,In which country is XXX found?                                         ,
P17        ,country                                         ,Which country contains XXX?                                            ,Quale paese contiene YYY XXX?
P17        ,country                                         ,In which country is XXX situated?                                      ,In quale regione si trova YYY XXX?
P17        ,country                                         ,In which country is XXX located?                                       ,Di quale nazione fa parte YYY XXX?
P17        ,country                                         ,In what country is XXX located?                                        ,
P17        ,country                                         ,In what country is XXX?                                                ,
P17        ,country                                         ,In what country XXX is located?                                        ,
P17        ,country                                         ,Which country can you find XXX?                                        ,In quale paese puoi trovare YYY XXX?
P17        ,country                                         ,With which country would you associate XXX?                            ,A quale paese si associa YYY XXX?
P17        ,country                                         ,What is the country that XXX is located in?                            ,Qual è il paese in cui si trova XXX?
P17        ,country                                         ,What is the name of XXX's country?                                     ,Qual è il nome del paese di XXX?
P17        ,country                                         ,The town of XXX is located in which country?                           ,
P17        ,country                                         ,In which country would you find XXX?                                   ,
P17        ,country                                         ,In what country would you find XXX?                                    ,
P17        ,country                                         ,Which country's part is XXX?                                           ,
P27        ,country of citizenship                          ,Which country is XXX from?                                             ,
P27        ,country of citizenship                          ,What is XXX's country of original?                                     ,Qual è il paese di origine di XXX?
P27        ,country of citizenship                          ,What country is XXX from?                                              ,
P27        ,country of citizenship                          ,What country did XXX come from?                                        ,Da quale paese proviene XXX?
P27        ,country of citizenship                          ,Which country's citizen was XXX?                                       ,
P27        ,country of citizenship                          ,Which country's citizenship does XXX hold?                             ,Qual è la cittadinanza in posseso di XXX?
P27        ,country of citizenship                          ,Which country was XXX in?                                              ,
P27        ,country of citizenship                          ,Which country is XXX a citizen of?                                     ,Di quale paese è cittadino XXX?
P27        ,country of citizenship                          ,In which country did XXX live?                                         ,In quale nazione ha vissuto XXX?
P27        ,country of citizenship                          ,What country was XXX in?                                               ,
P27        ,country of citizenship                          ,What was XXX birth country?                                            ,Qual è il paese natale di XXX?
P27        ,country of citizenship                          ,To which country does XXX belong as its citizen?                       ,
P27        ,country of citizenship                          ,What country was XXX from?                                             ,Di quale nazione è originario XXX?
P27        ,country of citizenship                          ,Which country does XXX belong to?                                      ,
P27        ,country of citizenship                          ,Of which country is XXX a citizen?                                     ,Di quale paese è cittadino XXX?
P27        ,country of citizenship                          ,Of what country is XXX a citizen?                                      ,
P27        ,country of citizenship                          ,Where was XXX from?                                                    ,Da dove viene XXX?
P27        ,country of citizenship                          ,What is XXX's country of citizenship?                                  ,Qual è il paese di cittadinanza di XXX?
P495       ,country of origin                               ,The country of origin for XXX is what?                                 ,
P495       ,country of origin                               ,The country for XXX was what?                                          ,
P495       ,country of origin                               ,Which was the country for XXX?                                         ,
P495       ,country of origin                               ,What is the country XXX is from?                                       ,Qual è il paese da cui proviene XXX?
P495       ,country of origin                               ,What country released XXX?                                             ,
P495       ,country of origin                               ,What country did XXX originate?                                        ,
P170       ,creator                                         ,Which was the creator of XXX?                                          ,Chi è stato il creatore diYYY XXX?
P170       ,creator                                         ,The artwork XXX was by who?                                            ,Chi è l'autore dell'opera d'arte YYY XXX?
P170       ,creator                                         ,Who developed XXX?                                                     ,Chi ha sviluppato YYY XXX?
P170       ,creator                                         ,The XXX was made by whom?                                              ,
P170       ,creator                                         ,Who is XXX by?                                                         ,
P170       ,creator                                         ,What artist was responsible for the creation of XXX?                   ,Quale artista è stato responsabile della creazione diYYY XXX?
P177       ,crosses                                         ,Over what river does XXX cross?                                        ,Su quale fiume attraversa YYY XXX?
P177       ,crosses                                         ,Over which river does XXX cross?                                       ,
P177       ,crosses                                         ,What river does XXX cross?                                             ,Che fiume attraversa YYY XXX?
P177       ,crosses                                         ,What does XXX cross over?                                              ,Su cosa attraversa YYY XXX?
P569       ,date of birth                                   ,When was XXX born?                                                     ,Quando è nato XXX?
P569       ,date of birth                                   ,When was the birth of XXX?                                             ,Quando è stata la nascita di XXX?
P569       ,date of birth                                   ,When is the date of birth of XXX?                                      ,Quando è la data di nascita di XXX?
P569       ,date of birth                                   ,What was the date of birth of XXX?                                     ,Qual è stata la data di nascita di XXX?
P569       ,date of birth                                   ,What is the date of birth for XXX?                                     ,Qual è la data di nascita di XXX?
P569       ,date of birth                                   ,What is the birth date of XXX?                                         ,
P569       ,date of birth                                   ,The date of birth of XXX is?                                           ,
P569       ,date of birth                                   ,The date of birth for XXX is what?                                     ,
P569       ,date of birth                                   ,The birth date of XXX is what?                                         ,
P570       ,date of death                                   ,Which is the date of death for XXX?                                    ,Qual è la data di morte di XXX?
P570       ,date of death                                   ,When did XXX's death occur?                                            ,Quando è avvenuta la morte di XXX?
P570       ,date of death                                   ,What was the date of death of XXX?                                     ,Qual è stata la data della morte di XXX?
P570       ,date of death                                   ,What was the date of death for XXX?                                    ,
P570       ,date of death                                   ,What is the date of death for XXX?                                     ,Qual è la data della morte di XXX?
P570       ,date of death                                   ,What date did XXX die?                                                 ,
P570       ,date of death                                   ,The year XXX died was what?                                            ,
P570       ,date of death                                   ,When did the life of XXX end?                                          ,
P570       ,date of death                                   ,When did XXX die?                                                      ,Quando è morto XXX?
P570       ,date of death                                   ,What was the death date of XXX?                                        ,Qual è stata la data della morte di XXX?
P570       ,date of death                                   ,What was the date of XXX's death?                                      ,Qual è stata la data della morte di XXX?
P570       ,date of death                                   ,What is the date of XXX's death?                                       ,Qual è la data della morte di XXX?
P570       ,date of death                                   ,The death of XXX occured on what date?                                 ,La morte di XXX è avvenuta in quale data?
P570       ,date of death                                   ,The date of death for XXX is what?                                     ,
P570       ,date of death                                   ,On which date did XXX die?                                             ,In quale data è morto XXX?
P570       ,date of death                                   ,On what date did XXX die?                                              ,
P570       ,date of death                                   ,When was XXX's death?                                                  ,Quando è stata la morte di XXX?
P570       ,date of death                                   ,On what date did XXX expire?                                           ,
P570       ,date of death                                   ,What year did XXX die?                                                 ,In che anno è morto XXX?
P570       ,date of death                                   ,What year did XXX die in?                                              ,
P570       ,date of death                                   ,What date did XXX die on?                                              ,
P1619      ,date of official opening                        ,When was the opening of XXX?                                           ,Quando è stata l'apertura di XXX?
P1619      ,date of official opening                        ,What was the date of the opening of XXX?                               ,Qual è stata la data dell'apertura di XXX?
P1619      ,date of official opening                        ,When was the official opening of XXX?                                  ,Quando è stata l'apertura ufficiale di XXX?
P1619      ,date of official opening                        ,When was XXX opened?                                                   ,
P1619      ,date of official opening                        ,When was XXX founded?                                                  ,Quando è stata fondata XXX?
P1619      ,date of official opening                        ,When was XXX created?                                                  ,
P1619      ,date of official opening                        ,When did XXX open?                                                     ,Quando ha aperto XXX?
P1619      ,date of official opening                        ,When did XXX begin?                                                    ,
P1619      ,date of official opening                        ,When date was the official opening of XXX?                             ,
P1619      ,date of official opening                        ,When was XXX founded/built?                                            ,Quando è stata fondata/costruita XXX?
P1619      ,date of official opening                        ,What was the date of the official opening of XXX?                      ,
P1619      ,date of official opening                        ,When was XXX started?                                                  ,
P1619      ,date of official opening                        ,What year was XXX opened?                                              ,In che anno è stato aperto XXX?
P1619      ,date of official opening                        ,When was XXX opened officially?                                        ,Quando è stato aperto ufficialmente XXX?
P287       ,designer                                        ,Who worked on designing XXX?                                           ,Chi ha lavorato alla progettazione diYYY XXX?
P287       ,designer                                        ,What is the name of the person who designed XXX?                       ,Qual è il nome della persona che ha progettato YYY XXX?
P287       ,designer                                        ,Who designed the XXX?                                                  ,Chi ha progettato YYY XXX?
P287       ,designer                                        ,Who desigened XXX?                                                     ,Chi ha disegnato YYY XXX?
P287       ,designer                                        ,Which is the designer of XXX?                                          ,
P287       ,designer                                        ,Who is the designer of XXX?                                            ,Chi è il designer diYYY XXX?
P287       ,designer                                        ,Who worked on XXX?                                                     ,
P178       ,developer                                       ,With which development company would you associate XXX?                ,Con quale compagnia di sviluppo assoceresti XXX?
P178       ,developer                                       ,Who is the developer of XXX?                                           ,Chi è lo sviluppatore di XXX?
P178       ,developer                                       ,Which developer released XXX?                                          ,Quale sviluppatore ha pubblicato XXX?
P178       ,developer                                       ,Which company developed the videogame XXX?                             ,Quale compagnia ha sviluppato il videogioco XXX?
P178       ,developer                                       ,What is the name of XXX's developer?                                   ,Qual è il nome dello sviluppatore di XXX?
P178       ,developer                                       ,Which company developed XXX?                                           ,Quale azienda ha sviluppato XXX?
P178       ,developer                                       ,Who is originally behind the development of XXX?                       ,Chi c'è originariamente dietro lo sviluppo di XXX?
P178       ,developer                                       ,By whom was XXX developed?                                             ,Da chi è stato sviluppato XXX?
P57        ,director                                        ,Who was the person who directed XXX?                                   ,Chi era la persona che ha diretto XXX?
P57        ,director                                        ,Who was the director of XXX?                                           ,Chi era il direttore di XXX?
P57        ,director                                        ,Who was the director for XXX?                                          ,Chi era il regista di XXX?
P57        ,director                                        ,Who was XXX directed by?                                               ,Chi ha diretto XXX?
P57        ,director                                        ,Who is the director for XXX?                                           ,Chi è il regista di XXX?
P57        ,director                                        ,Who had the role of director in XXX?                                   ,Chi ha avuto il ruolo di regista in XXX?
P57        ,director                                        ,Who directed the film XXX?                                             ,Chi ha diretto il film XXX?
P57        ,director                                        ,Who directed XXX?                                                      ,Chi ha diretto XXX?
P57        ,director                                        ,Which director worked on XXX?                                          ,
P57        ,director                                        ,What was the name of the director for XXX?                             ,
P57        ,director                                        ,What is the director of XXX?                                           ,
P57        ,director                                        ,What is the name of the director of XXX?                               ,Qual è il nome del direttore diYYY XXX?
P57        ,director                                        ,"Who is the director of the film, XXX?"                                ,"Chi è il regista del film, XXX?"                                         ,Chi è il regista del film XXX?
